Year,Assessment,"Subtotal
(Vertebrates)","Subtotal
(Invertebrates)","Subtotal
(Plants)",TOTAL,"Population, total",Lowess(5)
2019,Total threatened,9.013,5.221,15.774000000000001,30.178,7673533972.0,0.99
2018,Total threatened,8.442,5.04,13.299000000000001,26.84,7591932906.5,0.95
2017,Total threatened,8.374,4.893,12.505,25.820999999999998,7509065705.0,0.92
2016,Total threatened,8.16,4.47,11.642999999999999,24.307,7424282488.0,0.87
2015,Total threatened,7.781000000000001,4.2010000000000005,11.232999999999999,23.25,7338964960.0,0.83
2014,Total threatened,7.678,4.14,10.584000000000001,22.413,7254228377.0,0.79
2013,Total threatened,7.39,3.822,10.065,21.285999999999998,7169640142.0,0.74
2012,Total threatened,7.25,3.57,9.39,20.219,7085763408.0,0.7
2011,Total threatened,7.108,3.2969999999999997,9.156,19.57,7002860604.0,0.67
2010,Total threatened,6.7139999999999995,2.904,8.724,18.351,6921871614.0,0.65
2009,Total threatened,6.143,2.639,8.5,17.291,6839574284.0,0.65
2008,Total threatened,5.966,2.496,8.457,16.928,6756917904.0,0.65
2007,Total threatened,5.742000000000001,2.108,8.447000000000001,16.305999999999997,6674203658.0,0.64
2006,Total threatened,5.622000000000001,2.101,8.39,16.116,6592734542.0,0.63
2004,Total threatened,5.188,1.992,8.321,15.503,6431551644.0,0.61
2003,Total threatened,3.5239999999999996,1.959,6.774,12.259,6351882361.0,0.59
2002,Total threatened,3.5210000000000004,1.932,5.7139999999999995,11.167,6272752974.0,0.55
2000,Total threatened,3.5069999999999997,1.9280000000000002,5.611000000000001,11.046,6114332536.0,0.5
1996,Total threatened,3.3139999999999996,1.891,5.327999999999999,10.533,5789623839.0,0.4
