Common_name,Scientific_name,Species_group,Country
Abarema obovata,Abarema obovata,Plants,Brazil
Abarema filamentosa,Abarema filamentosa,Plants,Brazil
Abarema cochliacarpos,Abarema cochliacarpos,Plants,Brazil
Abarema turbinata,Abarema turbinata,Plants,Brazil
Adelophryne maranguapensis,Adelophryne maranguapensis,Amphibians,Brazil
Adelophryne baturitensis,Adelophryne baturitensis,Amphibians,Brazil
Aiouea macedoana,Aiouea macedoana,Plants,Brazil
Aiouea bracteata,Aiouea bracteata,Plants,Brazil
Alagoas Antwren,Myrmotherula snowi,Birds,Brazil
Alagoas Curassow,Mitu mitu,Birds,Brazil
Alagoas Foliage-gleaner,Philydor novaesi,Birds,Brazil
Alagoas Tyrannulet,Phylloscartes ceciliae,Birds,Brazil
Albizia edwarllii,Albizia edwarllii,Plants,"Argentina, Brazil"
Albizia burkartiana,Albizia burkartiana,Plants,Brazil
Alcatrazes Lancehead,Bothrops alcatraz,Reptiles,Brazil
Allobates subfolionidificans,Allobates subfolionidificans,Amphibians,Brazil
Allobates olfersioides,Allobates olfersioides,Amphibians,Brazil
Amburana cearensis,Amburana cearensis,Plants,"Argentina, Bolivia, Brazil, Paraguay, Peru"
Amburana acreana,Amburana acreana,Plants,"Bolivia, Brazil, Peru"
Andean Condor,Vultur gryphus,Birds,Colombia to Chile and Argentina
Andean Flamingo,Phoenicoparrus andinus,Birds,"Argentina, Bolivia, Brazil, Chile, Peru"
Angular Angelshark,Squatina punctata,Fishes,"Argentina, Brazil, Uruguay"
Aniba santalodora,Aniba santalodora,Plants,Brazil
Aniba rosaeodora,Aniba rosaeodora,Plants,"Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Venezuela"
Aniba pedicellata,Aniba pedicellata,Plants,Brazil
Aniba intermedia,Aniba intermedia,Plants,Brazil
Aniba ferrea,Aniba ferrea,Plants,Brazil
Annual Tropical Killifish,Cynolebias constanciae,Fishes,Brazil
Anthias salmopunctatus,Anthias salmopunctatus,Fishes,Brazil
Aplastodiscus eugenioi,Aplastodiscus eugenioi,Amphibians,Brazil
Apron Ray,Discopyge tschudii,Fishes,"Argentina, Brazil, Chile, Peru, Uruguay"
Arapatiella psilophylla,Arapatiella psilophylla,Plants,Brazil
Arara Nut Tree,Joannesia princeps,Plants,Brazil
Araripe Manakin,Antilophia bokermanni,Birds,Brazil
Araucaria angustifolia,Araucaria angustifolia,Plants,"Argentina, Brazil, Paraguay"
Araucaria Tit-spinetail,Leptasthenura setaria,Birds,"Argentina, Brazil"
Arawacus aethesa,Arawacus aethesa,Insects,Brazil
Argentine Angel Shark,Squatina argentina,Fishes,"Argentina, Brazil, Uruguay"
Arrojadoa dinae,Arrojadoa dinae,Plants,Brazil
Arrojadoa bahiensis,Arrojadoa bahiensis,Plants,Brazil
Arthrocereus rondonianus,Arthrocereus rondonianus,Plants,Brazil
Arthrocereus melanurus,Arthrocereus melanurus,Plants,Brazil
Arthrocereus glaziovii,Arthrocereus glaziovii,Plants,Brazil
Aspidosperma polyneuron,Aspidosperma polyneuron,Plants,"Argentina, Bolivia, Brazil, Colombia, Paraguay, Peru"
Astrocaryum minus,Astrocaryum minus,Plants,"Brazil, French Guiana"
Atlantic Petrel,Pterodroma incerta,Birds,"Argentina, Brazil, Falkland Islands (Malvinas), Namibia, South Africa, St. Helena, United States/US Territory, Uruguay"
Atlantic Royal Flycatcher,Onychorhynchus swainsoni,Birds,Brazil
Atlantic Titi,Callicebus personatus,Mammals,Brazil
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Birds,"Angola, Argentina, Brazil, Mozambique, Namibia, South Africa, St. Helena, Uruguay"
Ayres Black Uakari,Cacajao ayresi,Mammals,Brazil
Azure Jay,Cyanocorax caeruleus,Birds,"Argentina, Brazil"
Azure-shouldered Tanager,Thraupis cyanoptera,Birds,Brazil
Bactris pickelii,Bactris pickelii,Plants,Brazil
Bahia Antwren,Herpsilochmus pileatus,Birds,Brazil
Bahia Spinetail,Synallaxis whitneyi,Birds,Brazil
Bahia Tapaculo,Scytalopus psychopompus,Birds,Brazil
Bahia Tyrannulet,Phylloscartes beckeri,Birds,Brazil
Bald Parrot,Gypopsitta aurantiocephala,Birds,Brazil
Bald Uakari,Cacajao calvus,Mammals,"Brazil, Colombia, Peru"
Bananal Antbird,Cercomacra ferdinandi,Birds,Brazil
Banara brasiliensis,Banara brasiliensis,Plants,Brazil
Band-tailed Antwren,Myrmotherula urosticta,Birds,Brazil
Banded Cotinga,Cotinga maculata,Birds,Brazil
Bare-throated Bellbird,Procnias nudicollis,Birds,"Argentina, Brazil, Paraguay"
Baru Tree,Dipteryx alata,Plants,Brazil
Basking Shark,Cetorhinus maximus,Fishes,"Africa, Asia, Australia, Central America, Europe, Middle East, North America (including United States), South America"
Bauhinia integerrima,Bauhinia integerrima,Plants,Brazil
Bay-capped Wren-spinetail,Spartonoica maluroides,Birds,"Argentina, Brazil, Uruguay"
Bay-ringed Tyrannulet,Phylloscartes sylviolus,Birds,"Argentina, Brazil, Paraguay"
Bearded Saki,Chiropotes satanas,Mammals,Brazil
Bearded Tachuri,Polystictus pectoralis,Birds,"Argentina, Bolivia, Brazil, Colombia, French Guiana, Guyana, Paraguay, Suriname, Uruguay, Venezuela"
Bentfin Devil Ray,Mobula thurstoni,Fishes,"Africa, Asia, Australia, Central America, Middle East, North America, South America"
Bicuiba oleifera,Bicuiba oleifera,Plants,Brazil
Big Leaf Mahogany,Swietenia macrophylla,Plants,"Central America, North America, South America"
Big-headed Amazon River Turtle,Peltocephalus dumerilianus,Reptiles,"Brazil, Colombia, French Guiana, Venezuela"
Bigeye Tuna,Thunnus obesus,Fishes,"Africa, American Samoa, Asia, Australia, Central America, Europe, Middle East, North America - Including United States (Hawaii), Oceanic, South America"
Bignose Fanskate,Sympterygia acuta,Fishes,"Argentina, Brazil, Uruguay"
Black Caiman,Melanosuchus niger,Reptiles,Amazon Basin
Black Grouper,Epinephelus nigritus,Fishes,"Central and South America, Mexico, United States"
Black Rail,Laterallus jamaicensis,Birds,"Central America, North America (including United States), South America"
Black Rockfish,Mycteroperca bonaci,Fishes,"Central America, North America (including United States), Oceanic, South America"
Black Squirrel Monkey,Saimiri vanzolinii,Mammals,Brazil
Black-and-gold Cotinga,Tijuca atra,Birds,Brazil
