,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,2H96fgx690U,2853,43,1,2,2008-10-01T05:49:37.000Z,Breaking the Habit - Harry Potter,Nyx919
1,cCfVCqykvWw,43422,64,5,19,2008-10-01T13:54:02.000Z,Harry Potter and the Chamber of Secrets PS1 part 4,HPVGames
2,bHmu_NjgJtY,7777,14,1,8,2008-10-01T16:14:36.000Z,Trap Door Alternate Intro-Harry Potter,JtgMaster123
3,kFihIBA34Fo,4368,19,2,14,2008-10-01T21:30:33.000Z,On the way down - Harry Potter,fine114
4,_ncvOw-r67Q,1278473,11047,278,980,2008-10-03T15:49:53.000Z,Harry Potter and the Outcasts of Hogwarts,PistolShrimps
5,ZCAzjE4ZJB8,753932,4612,70,191,2008-10-03T21:26:38.000Z,* Carol of the bells *,IrishGothicMystery
6,G1TEF1-i5iA,1148155,2964,127,567,2008-10-04T03:34:07.000Z,The Dementor&#39;s Kiss,seanisdeaf17
7,YFUEVQcRF-I,4872,28,0,3,2008-10-04T10:36:49.000Z,Chale Jaise Haawaayein- Harry Potter,acciocast
8,dd3t9kO3MBs,36496,162,4,22,2008-10-04T10:53:38.000Z,mock the week - unlikely lines from harry potter,lucus147
9,NcXoHM8trz0,3125,17,1,1,2008-10-05T19:18:28.000Z,Harry Potter - Hurt,TsushinokoStudios
10,HR52nINtiE0,39086,619,24,20,2008-10-06T01:52:43.000Z,fantoches do filme harry potter.,IcaroCosta000
11,1vqLCAf4LEU,12586,67,3,17,2008-10-08T10:17:31.000Z,Harry Potter - End of all hope,JohannesVIII
12,A177CwaYQi4,139292,432,14,80,2008-10-10T10:14:14.000Z,What Happened The Night Harry Got His Scar,SeverusSnape340
13,QZTuYYLeFCo,29232,213,32,41,2008-10-11T03:17:40.000Z,Harry Potter Theme Song,Oleg Grinfeld
14,7mQruTfsMiI,158937,1160,38,73,2008-10-11T23:57:49.000Z,Eye Of the Tiger: Harry Potter,GinevraMollyPotter93
15,xQZFWA2KDbw,5637157,32459,847,6209,2008-10-12T18:23:12.000Z,Sorting Hat Scene,SeverusSnape340
16,JPiZtMjlvC0,270325,909,12,137,2008-10-13T00:45:15.000Z,Severus Snape In Hallway,SeverusSnape340
17,vBgqOSM2TwE,26445,347,5,52,2008-10-13T16:13:30.000Z,Harry Potter Tribute - Thanks For The Memories - Fallout Boy,dancelikeciara
18,womrQ2m0xaw,4571,33,1,1,2008-10-14T22:42:04.000Z,Girls Just Want To Have Fun: Harry Potter GIRL Tribute,GinevraMollyPotter93
19,zrEGvltQPro,4532,35,1,26,2008-10-16T06:18:53.000Z,Arthur (Harry Potter),LMB
