,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle,publishTime
0,gdN8Lylc7to,22622,53,2,2,2011-02-01T03:13:00Z,Harry Potter and the Chamber of Secrets XBOX part 12,HPVGames,2011-02-01T03:13:00Z
1,4zOBhy1BJ2M,21945,179,1,3,2011-02-02T00:14:30Z,Emma Watson Harry Potter serisi ile nasıl tanıştı? Türkçe Altyazılıdır.,mineyagiz,2011-02-02T00:14:30Z
2,qze3obgPaYU,22530,35,3,17,2011-02-02T03:42:40Z,Harry Potter and the Chamber of Secrets XBOX part 13,HPVGames,2011-02-02T03:42:40Z
3,xst68AMRHiY,40280,78,4,28,2011-02-02T10:40:54Z,Harry Potter and the Chamber of Secrets XBOX part 15,HPVGames,2011-02-02T10:40:54Z
4,SXV2lc0qqnM,1401591,8392,193,1349,2011-02-03T00:12:02Z,MAKE Harry &amp; Hermione KISS .. and other fun free games :),Vsauce,2011-02-03T00:12:02Z
5,nxNolRhzkp4,4169,39,0,8,2011-02-03T05:46:14Z,Harry Potter gets Disturbed,Greg Green II,2011-02-03T05:46:14Z
6,jP5NBLkYuLg,22661,86,1,50,2011-02-03T14:03:17Z,Harry Potter e la Camera dei Segreti Walkthrough (PSX) Parte 1,Gianchio98,2011-02-03T14:03:17Z
7,qDgk8RAckCE,2292934,18036,1385,4178,2011-02-04T03:29:27Z,Why The Harry Potter Universe is Secretly Terrifying | After Hours,Cracked,2011-02-04T03:29:27Z
8,33eo8SZLX88,658892,9380,98,476,2011-02-04T06:39:53Z,Harry Potter: Ron&#39;s Emotional Breakdown,PistolShrimps,2011-02-04T06:39:53Z
9,8QPo_diqd8k,217913,1747,114,359,2011-02-04T13:44:47Z,Harry Potter und der Penner von Alcatraz Teil 1 [Remake],DURAPHILMS,2011-02-04T13:44:47Z
10,g6PS_iym-5I,12006,196,3,11,2011-02-05T11:41:03Z,"Buona fortuna, Harry Potter",LatanaVideo,2011-02-05T11:41:03Z
11,4wFNV1qNjGs,589090,5517,116,132,2011-02-05T13:49:44Z,"E&#39; la bacchetta a scegliere il mago, signor Potter.avi",LatanaVideo,2011-02-05T13:49:44Z
12,2RoJCFeKICo,1598928,19744,603,456,2011-02-06T10:34:37Z,"Hai veramente la, la Cicatrice??.avi",LatanaVideo,2011-02-06T10:34:37Z
13,DWZ2SnuN7r8,853277,10339,326,433,2011-02-06T11:38:18Z,Lo smistamento.avi,LatanaVideo,2011-02-06T11:38:18Z
14,zvAMS1a8KqE,157772,1829,130,278,2011-02-06T14:06:13Z,Meisjes vermoorden harry potter met een mes.,BanjoMovies,2011-02-06T14:06:13Z
15,QKP3wvJCaLA,55136,,,183,2011-02-07T09:02:01Z,Harry Potter Fan Film : Tara Putra and the Battle of Ages - Part 1 (HD),Tara Arts Movie,2011-02-07T09:02:01Z
16,MK3V63xqEj0,13448,248,12,45,2011-02-08T11:34:01Z,Harry Potter/Merlin - Mysterious Time -,LadySteena,2011-02-08T11:34:01Z
17,nBtVptIIJOU,2191479,6994,271,1469,2011-02-08T21:53:10Z,Blown up any aunts recently?,EvoClanDK,2011-02-08T21:53:10Z
18,71QmUcfjFRo,20092,62,7,23,2011-02-09T12:11:30Z,Let´s Doku Lego Harry Potter Years 1-4 - 140 [HD|Blind],Hallowed1986,2011-02-09T12:11:30Z
19,O4_28xCygLI,1614291,4749,688,207,2011-02-09T16:02:11Z,Harry Potter Year 1 - The Quidditch Match (Isolated Score),hpisolatedscores,2011-02-09T16:02:11Z
20,X6lfTpdmMAg,548321,2455,169,1307,2011-02-09T20:49:52Z,Harry Potter&#39;s English Tea Bags,askcharlie,2011-02-09T20:49:52Z
21,umhIefuHpUY,182876,457,30,35,2011-02-12T01:12:23Z,Harry Potter - Satranç Sahnesi,TRMegasonic,2011-02-12T01:12:23Z
22,vCYpYH3hqcg,403949,2427,169,178,2011-02-12T16:13:39Z,The Weasleys and the Potters: Ron-Hermione and Harry Ginny,LeaveMichaelAlone1,2011-02-12T16:13:39Z
23,-9jxratgncY,46500,1353,3,149,2011-02-13T07:20:33Z,Acts of Courage • Harry Potter // The Happiest Memory,Sapphiamur,2011-02-13T07:20:33Z
24,k-Qt8eUKHEA,378698,826,56,239,2011-02-13T08:39:08Z,Harry Potter and the Prisoner of Azkaban XBOX part 1,HPVGames,2011-02-13T08:39:08Z
25,6I1P1Vml8WM,310771,2795,29,267,2011-02-14T22:35:49Z,John Williams - Double Trouble (Harry Potter and the Prisonier of Azkaban),RoNaLDiCa08,2011-02-14T22:35:49Z
26,8dfBlht6lRg,60836,168,13,25,2011-02-16T12:01:49Z,Harry Potter and the Prisoner of Azkaban XBOX part 4,HPVGames,2011-02-16T12:01:49Z
27,7dMbvumri3E,14267,39,3,0,2011-02-16T15:01:15Z,Harry Potter and the Deathly Hallows: Part 1 - Game Trailer,BlockbusterUK,2011-02-16T15:01:15Z
28,Bs2GUP1XMPo,387116,2176,180,992,2011-02-16T21:04:44Z,Harry Potter&#39;s Forbidden Love,askcharlie,2011-02-16T21:04:44Z
29,VTpvRTy6kIo,252299,1526,35,362,2011-02-17T15:13:34Z,&#39;Harry Potter and The Sorceror&#39;s Stone&#39; Premiere from 2001!,hollywoodstreams,2011-02-17T15:13:34Z
30,Yeegd6-6oH0,28771,425,2,21,2011-02-17T16:15:07Z,Harry Potter cast receiving Outstanding Contribution for British Cinema Award,RupertGrintTVChannel,2011-02-17T16:15:07Z
31,zIN_Fm6NaAE,326744,1277,23,185,2011-02-18T01:31:44Z,Creating the world of Harry Potter: Ralph Fiennes (Lord Voldemort),harrypotter7fin,2011-02-18T01:31:44Z
32,W0oHiqUtPhI,9240,146,0,13,2011-02-18T18:21:00Z,Into the Fire {Harry Potter Tribute},kingdomkey112,2011-02-18T18:21:00Z
33,1_18lsfLa4s,14221,201,4,43,2011-02-18T19:58:09Z,The Plagues {Harry Potter},kingdomkey112,2011-02-18T19:58:09Z
34,c-naGfkX1AY,11648,285,3,44,2011-02-19T03:31:57Z,Build a Home {Harry Potter Tribute},kingdomkey112,2011-02-19T03:31:57Z
35,yYFTCww2KOE,31048,322,23,37,2011-02-20T14:46:40Z,Détournement Harry Potter 1 - Le Soumis,Converteaser,2011-02-20T14:46:40Z
36,Dh8YatoF60Q,94802,1304,25,29,2011-02-21T19:01:40Z,Tik Tok - Harry Potter,TheGirlWhoLivedDK,2011-02-21T19:01:40Z
37,hxDLoeDTXl0,1649804,10113,151,1461,2011-02-21T20:09:08Z,Harry Potter - &quot;Light and Darkness&quot;,xezene1,2011-02-21T20:09:08Z
38,ENieq37UB18,54518,116,7,31,2011-02-22T00:09:01Z,Harry Potter and the Prisoner of Azkaban XBOX part 6,HPVGames,2011-02-22T00:09:01Z
39,Cla6QBB-5mA,370242,6641,91,79,2011-02-22T23:21:21Z,Entrevista a Harry Potter 3 (PARODIA),HDub,2011-02-22T23:21:21Z
40,t86sWIkn4jI,23768,209,33,9,2011-02-23T22:06:49Z,EL HORMIGUERO: HARRY POTTER: EL MUSICAL (CON SORAYA),javibueno1996,2011-02-23T22:06:49Z
41,Yasu_ul2g5E,211475,1969,82,122,2011-02-24T02:24:08Z,Hedwig&#39;s Theme (Harry Potter),Ellen Vesterdal,2011-02-24T02:24:08Z
42,VKFBzYWfCOw,22302,17,2,0,2011-02-24T14:59:35Z,LEGO Harry Potter and Pirates of the Caribbean at Toy Fair 2011,Pixel Dan,2011-02-24T14:59:35Z
43,RO1Di3yJQQo,1159596,11843,362,495,2011-02-24T16:49:31Z,Harry Potter - Waka Waka,TheGirlWhoLivedDK,2011-02-24T16:49:31Z
44,Vi9EeSfiXn4,141907,1599,77,74,2011-02-27T03:03:23Z,Harry Potter Hardstyle,notinimusic,2011-02-27T03:03:23Z
45,66okFi2Smt8,149288,816,203,2,2011-02-27T10:43:13Z,Harry Potter und der Legostein der Weisen Teil I,Midas Kempcke,2011-02-27T10:43:13Z
46,GaQ_y3ZhPH4,86962,379,70,86,2011-02-27T17:09:10Z,Wizard Duel (Harry Potter Fan Film) - Canon EOS 60D,arrowheadss,2011-02-27T17:09:10Z
47,t292REoU-2U,12136,37,2,10,2011-02-27T17:39:59Z,Harry Potter e la Camera dei Segreti Walkthrough (PSX) Parte 15,Gianchio98,2011-02-27T17:39:59Z
48,4yVuvU3Zjt0,2063924,23512,560,3151,2011-02-27T19:25:33Z,Going Back to Hogwarts-A Very Potter Musical-Lyrics,Starkid Lyrics,2011-02-27T19:25:33Z
49,tIw5GkkhcJQ,222070,3543,22,315,2011-02-28T20:03:28Z,John Williams - Buckbeak&#39;s Flight,Mark Fowler,2011-02-28T20:03:28Z
