,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,KLLW5dnoDv8,335136,2411,43,279,2012-03-01T11:11:23.000Z,Harry Potter og Den Kaotiske Historie,Newyawn
1,XSG2FhjxXTs,13920,108,1,8,2012-03-01T17:37:03.000Z,Harry Potter Studio Tour - Production Designer Stuart Craig Interview,HeyUGuys
2,2NtmMc7PdDw,456472,1088,164,229,2012-03-01T22:54:23.000Z,Lego Harry Potter years 1-4 : All Characters (view) - 100% Complete,Tom H
3,KsphkpbfIFM,59515,671,8,24,2012-03-02T12:40:39.000Z,Parodie Harry Potter - Loto - Pérusse,Durandil HP
4,0N3P4foleok,2197397,22124,468,1812,2012-03-02T23:18:52.000Z,Harry/Ginny -- A Thousand Years,heartofwolf12
5,Nba3ZXmH9kQ,21187,128,0,3,2012-03-03T16:59:45.000Z,01. &quot;Prologue&quot; - Harry Potter and The Philosopher&#39;s Stone Soundtrack,Andrea Di Giuseppe
6,MtCMiV8HQ6E,36873,73,0,3,2012-03-03T20:03:31.000Z,12. &quot;Darkness Takes Over&quot; - Harry Potter and The Order of the Phoenix Soundtrack,Andrea Di Giuseppe
7,gVbzq0hcNeM,19794,229,1,10,2012-03-03T21:21:31.000Z,26. &quot;Dumbledore&#39;s Farewell&quot; - Harry Potter and The Half-Blood Prince Soundtrack,Andrea Di Giuseppe
8,5wf8P9psd2U,1401387,32530,536,1322,2012-03-05T18:27:22.000Z,Harry Potter and the Teenage Rebel,PistolShrimps
9,1o_xRh2M63w,150501,468,14,95,2012-03-05T18:46:18.000Z,Harry Potter and the Deathly Hallows: Part 1- Escape from Gringotts,krazywebkinzfan96
10,NPvHMLtZjlU,8981,137,8,8,2012-03-06T17:40:16.000Z,Harry Potter i młody buntownik (napisy PL),Mikołaj Łukasik
11,RBbFlnQzj50,30862,251,5,0,2012-03-07T07:54:15.000Z,‪Harry Potter et les Reliques de la Mort - Partie 2 - Bonus: La scène final,Allée des Sorciers
12,f99w0oGsGcI,1109963,9048,234,492,2012-03-07T17:18:45.000Z,Harry Potter Wingardium Leviosa HD scene,ThePotterShit
13,oyUZ4SxnlMY,1225306,11050,908,3227,2012-03-08T15:22:44.000Z,Harry Potter spreuken | Wedden Dat Ik Het Kan,weddendatikhetkan
14,A3X4KgcHAJo,127839,896,21,103,2012-03-12T15:36:26.000Z,Harry Potter and the Deathly Hallows Part 2- Chase Scene,2002hawkeye
15,cn1BAELLtIM,1061217,5442,329,534,2012-03-12T18:29:52.000Z,D.O.P.E. ft. T.I. = &quot;Harry Potter&quot;,DOPEmusicATL
16,8QJUx7lX67E,48424,650,11,95,2012-03-12T20:02:16.000Z,Huntube Poop / Youtube Poop - Harry Potter és a Gonosz Dumbledore,TheJuStMaTtHeW
17,TXmQtzHibPw,1074773,14194,129,1243,2012-03-13T22:40:06.000Z,Daniel Radcliffe alias Harry Potter - C&#39;Cauet sur NRJ,Cauet
18,y-ZIMUw9-lw,452403,5442,119,375,2012-03-15T12:18:24.000Z,22 Best Songs Harry Potter,TheKioly
19,5YP3PWYEyBU,864743,4255,98,399,2012-03-16T16:18:25.000Z,Invisible cloak Harry Potter 3   Prisoner of Azkaban avi,Naresh Kumar
20,K2-1iouvp80,700333,6740,125,343,2012-03-18T18:23:08.000Z,Harry Potter - Stronger (What Doesn&#39;t Kill You),Laura Sanchez
21,nostyBdQQ9c,15414,319,3,27,2012-03-19T09:36:57.000Z,Sweet Dreams - Harry Potter and the Deathly Hallows (Emily Browning cover),centperk
22,GaPAoO3XwVE,44480,150,10,54,2012-03-19T17:47:34.000Z,Inside The Harry Potter Tour In London,ClevverTV
23,ZkAG2Ei6Htk,3503,52,5,6,2012-03-20T17:01:34.000Z,Funny Harry Potter video,Luca Vizi
24,S1YMafOymJM,1338000,20476,379,1464,2012-03-20T20:09:52.000Z,Mike Relm - Harry Potter and the Remix of Death,mikerelmbootleg
25,5MOBf9Ai3Io,7334,70,1,9,2012-03-21T14:22:48.000Z,Ollivanders Experience at The Wizarding World of Harry Potter,Universal Orlando Resort
26,OY8j137XSRY,18986,91,1,26,2012-03-25T09:05:02.000Z,Harry Potter and the Philosopher&#39;s Stone PC 100% Walkthrough - Part 12: Fire Seeds,zelgadis115
27,cDk8Ke6lRio,18721,84,3,10,2012-03-25T09:05:11.000Z,Harry Potter and the Philosopher&#39;s Stone PC 100% Walkthrough - Part 13: Quidditch Afternoon,zelgadis115
28,Pvh6zu4s62k,16588,67,1,3,2012-03-25T10:12:17.000Z,Harry Potter and the Philosopher&#39;s Stone PC 100% Walkthrough - Part 17: Troll Trouble,zelgadis115
29,wtdCEIayajk,21758,93,2,31,2012-03-25T10:13:32.000Z,Harry Potter and the Philosopher&#39;s Stone PC 100% Walkthrough - Part 16: Potions Lesson,zelgadis115
30,QqXbwzf1mJg,25283,104,3,35,2012-03-25T10:51:44.000Z,Harry Potter and the Philosopher&#39;s Stone PC 100% Walkthrough - Part 18: Sneaking Up the Tower,zelgadis115
31,F6mpghG9rTo,19138,87,2,13,2012-03-25T11:09:12.000Z,Harry Potter and the Philosopher&#39;s Stone PC 100% Walkthrough - Part 20: Sneaking Down the Tower 2,zelgadis115
32,I5mikFQM_HI,24213,108,1,14,2012-03-25T11:10:04.000Z,Harry Potter and the Philosopher&#39;s Stone PC 100% Walkthrough - Part 14: Lumos Challenge,zelgadis115
33,uJbNQXvi98s,4412957,57147,662,1317,2012-03-25T11:13:44.000Z,Ellen&#39;s in &#39;Harry Potter&#39;!,muzzabearx
34,-RHOliUyF44,27674,144,1,33,2012-03-25T11:29:29.000Z,Harry Potter and the Philosopher&#39;s Stone PC 100% Walkthrough - Part 22: Final Duel,zelgadis115
35,qKDJRo5t5hY,27400,102,8,21,2012-03-25T11:34:20.000Z,Harry Potter and the Philosopher&#39;s Stone PC 100% Walkthrough - Part 21: Forbidden Corridor,zelgadis115
36,hB36Z_bWnpw,6334,110,2,8,2012-03-27T19:03:44.000Z,"Harry Potter ||| No light, No light. [HQ]",Dianne Cipriano
37,A5VYfF9cwO8,45233,920,13,42,2012-03-28T19:56:04.000Z,LEGO - Coldmirror&#39;s Harry Potter - 001,MadBrickMotion
38,RMPIRrH0Olk,60184,448,12,21,2012-03-29T14:22:06.000Z,Harry Potter zum Anfassen: Blick hinter die Filmkulissen,AFP Deutschland
39,6x3lglpjG54,253686,5075,113,259,2012-03-29T19:29:15.000Z,Harry Potter and the Deathly Hallows part 2 trailer at Trafalgar Square,theoutolintunen
