,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle,publishTime
0,7KW2oq2AeBM,4425198,1261,408,34,2009-02-01T14:33:42Z,Lego Pirates 2009 Movie Trailer,PiratesOfTheWriters,2009-02-01T14:33:42Z
1,94mlr1TBMbk,63225,254,9,60,2009-02-02T08:10:01Z,Harry Potter and the Deathly Hallows Part 4 Claymation,lecter63,2009-02-02T08:10:01Z
2,ykbAP0fCyqA,7786,39,0,0,2009-02-02T11:37:42Z,Harry Potter - Der Feuerkelch Trailer,SonicY3k,2009-02-02T11:37:42Z
3,ZYF4TF5OhHg,1018,6,0,1,2009-02-02T21:18:00Z,Harry Potter and the Sorcerers Stone Trailer,jennangel543,2009-02-02T21:18:00Z
4,Bh5zls3_k7s,3893526,36287,522,4244,2009-02-03T09:23:59Z,Harry Potter and the Goblet of Fire Deleted Scenes,asila06,2009-02-03T09:23:59Z
5,OpBN17lTRxc,257149,152,31,86,2009-02-04T11:26:58Z,Harry Potter and the Deathly Hallows Trailer official Audio Book,schoebble,2009-02-04T11:26:58Z
6,bKj8edXTNwo,1583,9,3,7,2009-02-04T15:38:15Z,Harry Potter-Donnie Darko &quot;Prince´s Tale&quot;-remastered!!!!,sabserab,2009-02-04T15:38:15Z
7,gi2WL5xJeXo,54746,165,7,47,2009-02-05T05:14:29Z,Harry Potter and the Deathly Hallows part 11 Claymation,lecter63,2009-02-05T05:14:29Z
8,_W_YS4cUIAM,21511,42,1,5,2009-02-05T12:39:00Z,Harry Potter und der Halbblutprinz l Offizieller Trailer #2,harrypottertrailer,2009-02-05T12:39:00Z
9,dXF9nYdWEhg,573,4,2,2,2009-02-05T18:19:51Z,a walk to remember harry potter,mydiarylife,2009-02-05T18:19:51Z
10,ovQmZD-ibe4,4481,6,1,2,2009-02-06T01:05:52Z,Harry Potter and Prisiner of Azkaban - Theatrical Trailer Dark (Only music / Instrumental),Bastinou31,2009-02-06T01:05:52Z
11,lSp9lzTs-zI,2201,31,2,18,2009-02-06T03:53:04Z,Ghostbusters The Video Game - Full Trailer **HD QUALITY**,TotalMK,2009-02-06T03:53:04Z
12,mhvMEYukEBI,110485,121,7,33,2009-02-07T14:46:41Z,Harry Potter and the Goblet of Fire PC Game Trailer,vglp33,2009-02-07T14:46:41Z
13,tKlpkOR612U,321,1,0,1,2009-02-07T15:58:39Z,Harry Potter and the Half Blood Prince Official Trailer,ScottSok,2009-02-07T15:58:39Z
14,kPk1dHeLvi4,271,0,1,0,2009-02-08T05:37:46Z,Harry Potter &amp; Il Principe MezzoSangue - Teaser (Ita HD Ready),andryhd09,2009-02-08T05:37:46Z
15,DpyuKvXEqig,514,4,0,1,2009-02-08T06:38:10Z,Harry Potter &amp; Il Principe MezzoSangue - Trailer Integrale (Ita HD Ready),andryhd09,2009-02-08T06:38:10Z
16,aZ5BuusOr4Y,1439,11,0,1,2009-02-08T20:51:56Z,Harry Potter and the Half-Blood Prince Trailer,StudioGerrit,2009-02-08T20:51:56Z
17,Qs0lbAijY6w,11009,27,1,9,2009-02-10T00:14:56Z,Northanger Abbey Fan Trailer,RandHrShipper1,2009-02-10T00:14:56Z
