,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,Dg4mPJdyg_E,1325318,1248,101,907,2010-10-01T17:56:24.000Z,Paranormal Activity 2 | OFFICIAL trailer #2 US (2010),moviemaniacsDE
1,KPPofb_j3gw,836,4,0,5,2010-10-02T15:25:35.000Z,Harry Potter and the Deathly Hallows Trailer Remake (Edited),MsXtremeLady
2,yMJNLMBYGIU,12424,9,7,7,2010-10-03T02:19:22.000Z,Harry Potter and the Deathly Hallows Trailer 4 [HD],Martin Jakš
3,9f0HuzFU3B4,116,1,0,0,2010-10-03T10:59:11.000Z,Harry Potter and the Deathly Hallows Official Trailer HD,Shady15
4,RJKnTYF_G4s,55281,90,31,40,2010-10-05T17:23:58.000Z,Harry Potter and the Deathly Hallows 7 Teaser Trailer Parody non Official Binaca HD,Randall McNair
5,j399fd3xV94,1073681,683,83,411,2010-10-06T17:11:54.000Z,&#39;Paranormal Activity 2&#39; Trailer,hollywoodstreams
6,6uT7SuySV9o,71,4,0,0,2010-10-08T14:57:38.000Z,Harry Potter And The Deathly Hallows - Official Trailer,MrAkulale
7,uRaNtJNs9RA,218282,135,6,39,2010-10-08T16:11:16.000Z,Trailer - HARRY POTTER AND THE DEATHLY HALLOWS - PART 1 &quot;E3 Trailer&quot;,CGRtrailers
8,C4tlpmOklYw,1212,7,0,0,2010-10-08T16:51:55.000Z,Harry Potter e i Doni della Morte Trailer Ufficiale Italiano,Worth Pit
9,DH03vnIz1hk,11019,15,1,3,2010-10-13T15:08:59.000Z,Harry Potter 7 Official Trailer 1+2 HD.mov,jorick130494
10,BFc_OLq6neE,170399,874,21,157,2010-10-13T18:08:07.000Z,Harry Potter and the Deathly Hallows Part 1 New Teaser Trailer 1 Official HD,ClevverTV
11,KT0iPw3g9Yc,474121,1499,34,467,2010-10-13T18:09:16.000Z,Harry Potter and the Deathly Hallows Part 1 New Trailer 2 Official (HD),ClevverTV
12,j22Xj3oKjc4,8730,44,1,3,2010-10-14T07:42:09.000Z,Harry Potter und der Orden des Phönix / Trailer / German,TheMovie100Fan
13,r4Wmv9zREfg,700057,2809,118,257,2010-10-14T13:23:12.000Z,Harry Potter 7 und die Heiligtümer des Todes Trailer 1+2 Deutsch/German,19avatar94G
14,mnoW5-DmIUM,1069413,1184,260,1535,2010-10-14T16:19:08.000Z,Skyline - Theatrical Trailer,Universal Pictures
15,_6MHHmFh8mw,103299,106,42,70,2010-10-16T09:31:03.000Z,Harry Potter and The Deathly Hallows Part 2 Fanmade Trailer,Ahana Cyrus
16,177XtOLGLLg,272184,858,127,335,2010-10-17T07:35:34.000Z,Harry Potter and the Deathly Hallows Part 2 : Beyond The Trailer,Beyond The Trailer
17,pw_sZeURWe8,5146,56,2,11,2010-10-18T14:07:54.000Z,Potter Begins (Batman Begins trailer - Harry Potter Style),Hud1313
18,vLcLyhE5mr4,592424,1209,18,148,2010-10-18T21:33:49.000Z,Harry Potter and the Deathly Hallows - TV Spot #2,Warner Bros. Pictures
19,wodrP0Dj79E,432466,909,15,130,2010-10-18T21:49:12.000Z,Harry Potter and the Deathly Hallows - TV Spot #4,Warner Bros. Pictures
20,c4-yP8_H0wg,1566191,1809,23,720,2010-10-18T21:56:24.000Z,Harry Potter and the Deathly Hallows - TV Spot #8,Warner Bros. Pictures
21,db-b2p6S7ac,357113,806,7,164,2010-10-18T22:02:54.000Z,Harry Potter and the Deathly Hallows - TV Spot #6,Warner Bros. Pictures
22,FYgBGiFeKx8,613808,1504,16,414,2010-10-18T22:06:17.000Z,Harry Potter and the Deathly Hallows - TV Spot #7,Warner Bros. Pictures
23,fg0lElSjaAc,4316,3,1,5,2010-10-19T13:00:44.000Z,Harry Potter and the Deathly Hallows Video Game - DS - official preview trailer HD,MrPlayerism2
24,U9j-vL2f9cM,187540,1033,39,216,2010-10-21T03:19:06.000Z,Harry Potter and the Deathly Hallows Part 1 - TV Trailer Spot #1 - Official HD,ClevverTV
25,eeogl7_Uaco,1452,7,0,0,2010-10-21T09:26:41.000Z,Harry Potter and the deathly hallows Part 1 : Official Trailer 2,gringottsfr
26,TlfweZUgCQs,543476,1917,48,299,2010-10-21T14:12:28.000Z,HARRY POTTER UND DIE HEILIGTÜMER DES TODES - Teil 1 - Trailer Deutsch HD German,Warner Bros. DE
27,thh_3HyQozM,382684,737,21,167,2010-10-21T16:10:57.000Z,HARRY POTTER UND DIE HEILIGTÜMER DES TODES (TEIL 1) | Trailer #2 [HD],vipmagazin
28,pCCvXK0mmZ8,47,0,0,0,2010-10-23T12:30:40.000Z,Harry Potter And The Deathly Hallows - Official Trailer [HD],Zee Studio
29,Dmtrf3vjyu4,554,4,0,0,2010-10-23T14:09:25.000Z,Harry Potter and Prisoner of Azkaban Official Trailer (Warner Bros. Online International),JustATwilightfan
30,FHcPus96qzE,57163,66,2,41,2010-10-23T14:10:29.000Z,Harry Potter and the Deathly Hallows : Part I | OFFICIAL [HD] teaser US (2010) new footage,moviemaniacsDE
31,WvzN6svr5Ic,3285,7,0,2,2010-10-24T07:24:01.000Z,Harry Potter and the Deathly Hallows Trailer 4,Half Blood Mockingjay
32,at7qjk6qjQ8,603,1,0,0,2010-10-24T14:24:20.000Z,Harry Potter e I doni della morte Official Trailer,TheMissBamboline
33,54IINqAA4Q0,4175,22,1,1,2010-10-25T14:29:48.000Z,Official Trailer F2 NL - Harry Potter and the Deathly Hallows - part 1,Warner Bros NL
34,SyjnfTD8KmI,2109,10,2,0,2010-10-26T09:27:27.000Z,Special Content Trailer - HARRY POTTER E OS TALISMÃS DA MORTE PARTE 1,WarnerBrosPortugal
35,hNvJL47g0zM,15729,80,8,12,2010-10-26T10:26:37.000Z,SPOOF - Harry Potter and the Deathly Hallows Trailer,GalaxyStudios
36,zoOoKMYfT6A,128219,595,23,267,2010-10-26T23:17:32.000Z,Harry Potter and the Deathly Hallows - TV Trailer,IGN
37,mnj4pPJVQL8,1083248,3608,56,668,2010-10-27T01:08:32.000Z,Harry Potter and the Deathly Hallows Part 1 &quot;Epic Finale&quot; Featurette,ClevverTV
38,IQ8gPg3glYE,18320,110,2,1,2010-10-27T13:53:14.000Z,HARRY POTTER AND THE DEATHLY HALLOWS TRAILER,VILLAGE
39,MW-Vy4Mxxd0,1123113,2131,65,737,2010-10-27T14:13:52.000Z,Harry Potter und die Heiligtümer des Todes - Teil 1 | deutscher trailer #F2 OFFIZIELL (2010),moviemaniacsDE
40,I7vBLvS1eHw,460559,380,33,89,2010-10-27T15:47:28.000Z,&#39;All Good Things&#39; Trailer HD,hollywoodstreams
41,Y1sKSaHVb98,355734,1118,34,316,2010-10-27T18:22:42.000Z,&#39;Harry Potter and the Deathly Hallows&#39; New Promo Featurette,hollywoodstreams
42,sc0e1jsoohY,2243178,21197,1207,4732,2010-10-29T00:47:08.000Z,New Harry Potter Trailer : Rated Awesome #5,Indy Mogul
