,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,IpYHbdh9yTM,366654,1437,34,275,2011-09-01T11:19:35.000Z,Harry Potter and the Philosopher&#39;s Stone |Opening Scene|,HPScenes
1,ZgvMHDwa8x4,3716,3,0,1,2011-09-01T19:55:12.000Z,Take Shelter - Official Trailer,metropolefilms
2,V75dMMIW2B4,3428018,11259,365,1385,2011-09-02T09:01:51.000Z,The Lord of the Rings: The Fellowship of the Ring Official Trailer #1 - (2001) HD,Movieclips
3,uuUEqTKn5Ho,153911,492,23,89,2011-09-02T09:04:39.000Z,The Lord of the Rings: The Fellowship of the Ring MOVIE Teaser (Lord of the Rings Trilogy) - HD,Movieclips
4,bWr67LK9-Uo,133083,446,48,44,2011-09-02T13:04:40.000Z,Harry Potter and the Deathly Hallows: Part 2 #8 Movie CLIP - Goyle&#39;s Fiend Fire (2011) HD,Movieclips
5,n3SrAOdy-tE,209657,1089,50,81,2011-09-02T13:32:16.000Z,Harry Potter and the Deathly Hallows: Part 2 #7 Movie CLIP - The Room of Requirement (2011) HD,Movieclips
6,rhTGE6TQdSc,159864,565,31,35,2011-09-02T13:39:24.000Z,Harry Potter and the Deathly Hallows: Part 2 #9 Movie CLIP - Harry&#39;s Sacrifice (2011) HD,Movieclips
7,P57Z6LOoh_k,142862,443,22,40,2011-09-02T13:59:47.000Z,Harry Potter and the Deathly Hallows: Part 2 #5 Movie CLIP - The Chamber of Secrets (2011) HD,Movieclips
8,cacjl7UwuVU,142885,652,14,56,2011-09-02T14:01:45.000Z,Harry Potter and the Deathly Hallows: Part 2 #3 Movie CLIP - He Knows We&#39;re Hunting Horcruxes (2011),Movieclips
9,FK-mY_mZAzs,36145,84,8,3,2011-09-02T14:09:42.000Z,Harry Potter and the Deathly Hallows: Part 2 #1 Movie CLIP - The Deathly Hallows Exist (2011) HD,Movieclips
