,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,QrxGmuUDtNo,349508,2293,103,461,2012-12-01T19:29:57.000Z,Lets Play Lego Harry Potter Years 5-7 - Part 8,Rosanna Pansino
1,VORyLjxxShQ,9908,296,29,182,2012-12-01T21:24:09.000Z,Let&#39;s Play Harry Potter - Nare Man - Deel 1,TheaumesGames
2,g7WzbE5qYz0,334704,3034,144,1486,2012-12-02T00:27:45.000Z,Harry Potter Deaths,Bella4754
3,9zouhzojslQ,30962,243,20,15,2012-12-02T19:50:41.000Z,Harry Potter &amp; Ron Weasley PARODI - Bil Färden!,JulmustProduction
4,Tw6u7nY47xA,4089,288,0,31,2012-12-03T16:52:38.000Z,● Harry Potter | Blinding,Victoria666100
5,J7XbOwkZakQ,2160,8,0,1,2012-12-03T18:43:02.000Z,&#39;Harry Potter à l&#39;école des sorciers&#39; ce soir à 22 h 25,Medi1TV
6,nk6hgTWjUu8,22276,426,4,17,2012-12-03T22:41:16.000Z,"Oscars Auto Tuned 2011 - Harry Potter, Toy Story 3, Social Network, Eclipse",Sibrius Cheder
7,1nQeHjZjxGE,1206642,23291,645,801,2012-12-04T19:01:31.000Z,Harry Potter und der Stein der Weisen in 101 Sekunden,DerDrogg
8,kCCmhg7iI9o,61965,1743,12,118,2012-12-05T05:25:26.000Z,Harry Potter ||  Radioactive,TheRedSoxFan18
9,e-tnkxED6xQ,2493983,32920,389,2759,2012-12-05T22:04:38.000Z,Ron Weasley&#39;s &quot;Bloody Hell&quot; Moments,Rowbacca
10,RcMjBfqI1q8,4687,25,2,4,2012-12-07T17:47:37.000Z,Harry Potter and the Sorcerer&#39;s Stone Fail Compilation (Pc game),wirti94
11,ZBuEn6nTjRo,40484,313,35,33,2012-12-07T21:41:58.000Z,Harry Potter Och Ron Weasley PARODI - Tåg Färden!,JulmustProduction
12,m8J8T88dleM,120739,381,88,57,2012-12-08T10:02:19.000Z,Harry Potter és a Főnix Rendje hangoskönyv 2/4,Ádám Naggy
13,_HUeOCCNMb4,313685,1725,79,446,2012-12-08T20:27:06.000Z,Lets Play Lego Harry Potter Years 5-7 - Part 9,Rosanna Pansino
14,ACyRrDCfIXc,107479,348,24,15,2012-12-09T11:47:41.000Z,"Harry Potter a Kámen mudrců (Mluvené slovo, J.Lábus) || Kap. 10 : V předvečer všech svatých",4Fun
15,gK6UKVGaJes,88534,277,29,33,2012-12-09T11:53:09.000Z,"Harry Potter a Kámen mudrců (Mluvené slovo, J.Lábus) || Kap. 11 : Famfrpál",4Fun
16,_lfy6GjOsrA,104202,372,30,33,2012-12-09T12:04:02.000Z,"Harry Potter a Kámen mudrců (Mluvené slovo, J.Lábus) || Kap. 12 : Zrcadlo z Erisedu",4Fun
17,tCu4WcVp7zk,79072,254,27,16,2012-12-09T12:06:49.000Z,"Harry Potter a Kámen mudrců (Mluvené slovo, J.Lábus) || Kap. 13 : Nicolas Flamel",4Fun
18,KLZzxw91YOs,75716,222,28,14,2012-12-09T12:10:43.000Z,"Harry Potter a Kámen mudrců (Mluvené slovo, J.Lábus) || Kap. 14 : Norský ostrohřbetý drak Nor",4Fun
19,Jsu3iOW9lbE,80557,287,27,19,2012-12-09T12:18:26.000Z,"Harry Potter a Kámen mudrců (Mluvené slovo, J.Lábus) || Kap. 15 : Zapovězený les",4Fun
20,a5ka96CP7qw,95799,330,34,31,2012-12-09T12:31:22.000Z,"Harry Potter a Kámen mudrců (Mluvené slovo, J.Lábus) || Kap. 16 : Padacími dveřmi a ještě..",4Fun
21,ipQkqk-Yxfg,72119,371,18,32,2012-12-09T12:39:25.000Z,"Harry Potter a Kámen mudrců (Mluvené slovo, J.Lábus) || Kap. 17 : Muž se dvěma obličeji",4Fun
22,piQWuxUcxB0,709318,3981,126,365,2012-12-11T18:37:16.000Z,The Loyalty of the Elderwand | Harry Potter and the Deathly Hallows Pt. 2,HarryPotter
