,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle,publishTime
0,FUEjMNnri3U,188540,2031,19,190,2012-02-03T17:30:54Z,Daniel Radcliffe Recalls Time on &#39;Harry Potter&#39;,ABC News,2012-02-03T17:30:54Z
1,OFo2B-uBClg,389112,7306,139,906,2012-02-05T00:41:01Z,Sh*t Harry Potter Fans Never Say,polandbananas20,2012-02-05T00:41:01Z
2,IhuI759LDco,4600147,28414,1220,2318,2012-02-06T22:54:44Z,THE BEST SCENE IN HARRY POTTER,AmazingMoviesMedin,2012-02-06T22:54:44Z
3,qAtWruM0CJc,798238,10125,225,554,2012-02-07T12:53:55Z,Harry Potter in 60 Seconds,Avery Holliday,2012-02-07T12:53:55Z
4,jTxYH1ovpnA,97438,1258,18,52,2012-02-08T23:14:55Z,Harry Potter Series II Bring Me To Life,DeathlyHallows2596,2012-02-08T23:14:55Z
5,Lnuqqz677QE,28435,528,33,93,2012-02-09T02:53:37Z,Gay Moments Of Harry Potter,FredxGeorge64,2012-02-09T02:53:37Z
6,j7e7Rom9BNQ,40771,380,7,114,2012-02-10T14:17:27Z,Daniel Radcliffe: Harry Potter WILL be remade!,Absolute Radio,2012-02-10T14:17:27Z
7,Jo-pZtelF3g,31881,94,4,10,2012-02-11T19:51:02Z,Harry Potter and the Chamber of Secrets PS1 Walkthrough - Part 06,DazzlingWalkthroughs,2012-02-11T19:51:02Z
8,u_Y_T0C15P0,27462,79,4,13,2012-02-11T21:16:24Z,Harry Potter and the Chamber of Secrets PS1 Walkthrough - Part 07,DazzlingWalkthroughs,2012-02-11T21:16:24Z
9,ZFc0O3YXpV4,3963747,26235,961,4574,2012-02-12T09:09:21Z,Funniest Harry Potter Moments,TheStefatron,2012-02-12T09:09:21Z
10,MeYTNPYs5xI,21195,66,4,15,2012-02-12T17:23:26Z,Harry Potter and the Chamber of Secrets PS1 Walkthrough - Part 09,DazzlingWalkthroughs,2012-02-12T17:23:26Z
11,mOTkmt8KmVc,179363,419,12,24,2012-02-12T17:57:58Z,Tráiler Oficial Harry Potter y Las Reliquias de la Muerte Parte 2 (Español),Vengadores Unidos,2012-02-12T17:57:58Z
12,Rmy6HRJm8UM,323474,1184,28,306,2012-02-13T00:27:42Z,Harry Potter and the Prisoner of Azkaban PS2 Walkthrough - Part 01,DazzlingWalkthroughs,2012-02-13T00:27:42Z
13,pfT-JcdVxLA,53075,185,20,17,2012-02-13T18:09:36Z,Harry Potter és a Bölcsek köve hangoskönyv 1. rész,flash4174,2012-02-13T18:09:36Z
14,JEw4JJC9Czo,18245,77,8,5,2012-02-13T18:16:51Z,Harry Potter és a Bölcsek köve hangoskönyv 2. rész,flash4174,2012-02-13T18:16:51Z
15,6A1fceRD9zo,16981,56,5,3,2012-02-13T18:47:38Z,Harry Potter és a Bölcsek köve hangoskönyv 3. rész,flash4174,2012-02-13T18:47:38Z
16,3dqgangyLu8,306675,1378,48,362,2012-02-13T22:50:14Z,Harry Potter and the Deathly Hallows Part 2 - Voldemort &quot;kills&quot; Harry,MrRikkimarkanthony,2012-02-13T22:50:14Z
17,btVBgJ2lCt8,911019,12879,103,698,2012-02-14T12:17:43Z,►Harry Potter - Safe And Sound,mozaikue,2012-02-14T12:17:43Z
18,4RSfbXPOTvs,106024,305,11,47,2012-02-15T15:11:14Z,Harry Potter and the Prisoner of Azkaban PS2 Walkthrough - Part 04,DazzlingWalkthroughs,2012-02-15T15:11:14Z
