,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,pfy911AN_L4,190295,1943,29,280,2012-08-01T09:37:53.000Z,Harry Potter Wizard&#39;s Collection Boxset Unboxing,FRESH Movie Trailers
1,hcjlFg42H14,39125,423,61,,2012-08-02T20:30:50.000Z,"Parodia Hermione Granger,Ronald Weasley y Harry Potter - Trío de Oro.",María De Martino
2,xeGU9Mm3rbg,59807,227,11,8,2012-08-02T22:55:37.000Z,harry potter 7 le film en entier partie 10,Keikoku Luciole
3,wr_GNLKfMk8,78953,853,13,16,2012-08-04T00:45:46.000Z,Harry Potter: The final battle | Run This Town [HD],viNiraa
4,KEI0s0mwqXM,3514185,62272,1084,6478,2012-08-05T15:40:07.000Z,YTP: Harry Potter and the Flesh Eatin&#39; Slug Repellent [Part One],TheMasterPoop
5,D0sOydCXHxE,87679,258,79,40,2012-08-07T03:05:02.000Z,How to make a Harry Potter or Hermione costume,Kidspot
6,cnxF1iJbmoM,2358792,55585,2220,,2012-08-07T20:11:11.000Z,100 Harry Potter Things To Do When You&#39;re Not At Hogwarts,Tessa Netting
7,G8I43wqqSmg,129215,1375,262,125,2012-08-08T12:35:32.000Z,Harry Potter und der Plastikpokal ~*Top 30*~,HRMpower
8,JcMYP01o6sM,421516,2365,34,184,2012-08-08T16:13:02.000Z,Hermione casts a spell on Ron | Harry Potter and the Order of the Phoenix,HarryPotter
9,ehO79cncGIs,92739,1639,14,51,2012-08-09T00:59:16.000Z,Harry Potter [Sail],norelle108
10,Zk46IYNP9WY,99829,899,27,33,2012-08-09T09:13:31.000Z,Harry Potter Tribute - Harry vs. Voldemort - Hero,Daniel Bowd
11,D9QFiKnGt1M,239629,4882,268,293,2012-08-09T14:08:15.000Z,Harry Potter Rap #2 [Animation],TheDroggelbecher
12,SA_Q1oq4mDM,118386,1558,67,144,2012-08-09T16:27:50.000Z,Harry Potter Kinder find ich nicht so toll,Dragon ofShadowland
13,QCl4aBrPwvY,25747,302,6,46,2012-08-09T22:24:11.000Z,Harry Potter i Insygnia Śmierci - Śmierć Zgredka - PL,Alan Jolo
14,9bHWY4jTNr8,2678860,37578,763,1304,2012-08-11T02:31:40.000Z,19 Years later Harry Potter scene,High Times
15,RCVdgFin8uQ,1518098,8206,109,934,2012-08-13T16:18:45.000Z,Dumbledore&#39;s Army | Harry Potter and the Order of the Phoenix,HarryPotter
16,5AccW3xtn3I,46063,694,43,112,2012-08-14T06:45:19.000Z,Harry Potter - Muertes,JamesAlLily
17,YxT9gRQKFWc,32807,310,27,,2012-08-14T13:11:32.000Z,Harry Potter the Way it should have been part 4,MsAdorableIdiot
18,votqYkgOrSo,21651,203,5,5,2012-08-14T16:58:37.000Z,Harry Potter||&quot;It&#39;s Always A Good Time&quot;,seoulxlights
19,ucS3xMZcrHQ,2245947,19486,274,2253,2012-08-15T06:22:46.000Z,Harry and Hermione - Harry Potter and the Half-Blood Prince [HD],Harry Potter
20,C7Cyyb0jk7Q,969005,4774,77,645,2012-08-15T08:10:02.000Z,Thestrals - Harry Potter and the Order of the Phoenix [HD],Harry Potter
21,tHE4HJnrr8U,197800,3412,12,166,2012-08-15T12:19:44.000Z,Tom and Dan ( Harry Potter and the Chamber of Secrets),Codra Foymal
22,PlzY4sR4ktM,578191,3884,62,434,2012-08-15T16:24:30.000Z,Fawkes rescues Dumbledore | Harry Potter and the Order of the Phoenix,HarryPotter
23,eAHDS5Rn4kg,8755981,57555,1448,49,2012-08-17T15:44:41.000Z,Dumbledore and Voldemort Duel | Harry Potter and the Order of the Phoenix,HarryPotter
24,ZfTsYA6ECZA,11109,93,1,5,2012-08-17T17:29:38.000Z,Harry Potter Wizard&#39;s Collection | Quidditch Visual Effects | Warner Bros. Entertainment,Warner Bros. Entertainment
25,MiGrz2HKc20,15054,158,4,4,2012-08-18T10:04:04.000Z,Harry Potter Mambo No.5,MsAdorableIdiot
26,7Jrz1sg578g,57800,905,13,40,2012-08-18T21:17:56.000Z,LEGO Harry Potter: Lata 1-4 - videorecenzja quaza,quaz9
27,CnPdJ5gdFEg,51772,654,108,3,2012-08-19T00:36:13.000Z,"Especial parodia Hermione Granger, Harry Potter y Ron Weasley. Uno peor que el otro.",María De Martino
28,dfWbsf7xvL8,3085,19,0,1,2012-08-21T09:20:53.000Z,Harry Potter i Insygnia Śmierci cz.2 (2011) - trailer HBO,HBO Polska
