,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,kBFSkwnTbBI,125787,708,39,92,2009-11-02T14:36:32.000Z,tapis-rouge-harry-potter-6,AdosTVShow
1,Mo-U5iOinM8,506320,1750,65,407,2009-11-23T20:40:20.000Z,Death Eater Attack -- Harry Potter and the Half-Blood Prince,BellaLestrangeFan
2,zhgl1PR8VHY,248390,3160,48,185,2009-12-22T00:44:27.000Z,Harry Potter and Half-Blood Prince -Behind The Scenes,193julie193
3,pCawjbMysBg,2422711,33282,829,1522,2009-12-28T14:26:54.000Z,Harry Potter and the Magic of Puberty,PistolShrimps
4,0nVQPwH2m4s,631918,2743,69,995,2009-12-29T13:36:03.000Z,Harry Potter &amp; Half-Blood Prince - Potion of Despair - HD 720p,Cation
5,ruG8d5df2E4,98502,774,10,177,2010-01-11T06:33:37.000Z,Harry Potter and the Half Blood Prince - Raise ur wand -  HD 720p,Cation
6,OOXBKdi9E7Y,485197,3870,37,592,2010-01-23T21:03:21.000Z,Harry Potter and the Goblet of Fire Deleted Scene: Hogwarts School Song,inferi07
7,rH63g-pBxr8,109055,815,185,,2010-02-19T06:46:04.000Z,harry potter the way it should have been part 1,MsAdorableIdiot
8,cwO15OdcoVM,203663,1627,30,79,2010-04-04T17:32:04.000Z,Harry Potter - Hero - Skillet,Leanneps95
9,Rr4zIpqrro4,7160972,113179,2015,4638,2010-05-24T13:09:27.000Z,Stars of Harry Potter visit Hogsmeade,Simon Willmore
10,CCvxmI6sIA8,586689,1548,45,485,2010-05-29T21:39:08.000Z,Harry Potter and the Forbidden Journey queue at the Wizarding World in Universal Orlando,Inside the Magic
11,l5gimkebIDA,286553,2301,41,71,2010-06-09T22:27:09.000Z,Harry Potter AMV Airplanes,itsatwinthing4
12,aUGbvLgOyrs,651702,3527,59,583,2010-06-17T03:08:16.000Z,"Daniel Radcliffe, Rupert Grint &amp; Harry Potter stars  open Universal Orlando&#39;s Wizarding World",Inside the Magic
13,7IH2N1hMvuc,833945,6640,58,978,2010-06-18T01:19:34.000Z,"Daniel Radcliffe, Rupert Grint and other Harry Potter stars discuss Wizarding World, movies and more",Attractions Magazine
14,rCP-E9HDd1I,230354,1870,25,155,2010-06-18T04:56:51.000Z,Full Wizarding World opening fireworks show - Harry Potter film stars light Hogwarts Castle,Attractions Magazine
15,ramuWv8rqpg,241926,1213,19,222,2010-06-18T18:13:24.000Z,Grand opening of the Wizarding World of Harry Potter with Daniel Radcliffe &amp; other movie stars,Inside the Magic
16,ZlCmd5EWHsA,38277,164,2,,2010-06-21T17:30:30.000Z,Wizarding World of Harry Potter Park Grand Opening,Destinations in Florida
17,wyT7QovU2mA,2315839,13892,223,635,2010-06-26T18:55:45.000Z,Harry Potter - Backstage Funny Moments,GarbageGurls
18,9hXH0Ackz6w,4398510,22877,407,3799,2010-06-28T23:06:50.000Z,Harry Potter and the Deathly Hallows Official HD Trailer,Warner Bros. Pictures
19,oBZ5sqPDrkU,1034388,1821,132,800,2010-06-30T00:03:38.000Z,LEGO Harry Potter: Years 1-4 Review,IGN
20,wkvyc0AdM8M,865993,1766,87,642,2010-06-30T15:19:50.000Z,HARRY POTTER UND DIE HEILIGTÜMER DES TODES (TEIL 1) | Trailer [HD],vipmagazin
21,LWEc_rwF4KA,1068945,2718,108,1100,2010-06-30T17:22:23.000Z,Harry Potter and the Deathly Hallows: Part I Trailer [HD],IGN
22,84nUq4uStQA,19269031,223062,3056,5550,2010-07-01T04:12:29.000Z,Harry Potter - Fun on the Set * from the Collectors Edition of LEGO HP*,RadcliffeWatson
23,3qQw5qjrrCs,446271,505,50,219,2010-07-11T07:50:49.000Z,Harry Potter and the Deathly Hallows: Part 1 | The video game OFFICIAL [HD] gameplay trailer #1,moviemaniacsDE
24,DZMVMgEKqx8,2030435,13969,927,589,2010-08-02T02:33:53.000Z,Harry Potter Through The Years: My Tribute,pixargal007
25,NHGJOwaM7IE,123368,630,31,52,2010-08-09T11:58:07.000Z,El bosque prohibido Harry y Draco (Harry Potter y la piedra filosofal),CharlotteTokyo
