,id,viewCount,commentCount,likeCount,dislikeCount,publishedAt,title,channelTitle,publishTime
0,gyPcxhDO0nQ,65245,21,,,2009-05-15T21:56:57Z,Harry Potter es a Felver Herceg trailer #6 (magyar szinkron!!) - HD,Rendor,2009-05-15T21:56:57Z
1,h9dmzYm0Ol0,183863,133,1633,33,2009-06-08T12:28:31Z,HARRY POTTER UND DER HALBBLUTPRINZ offizieller Trailer deutsch,Warner Bros. DE,2009-06-08T12:28:31Z
2,5B5dLFFVzw4,1314062,1803,7650,781,2009-06-10T18:37:47Z,HARRY POTTER has ADHD? (HD),Oren Kaplan,2009-06-10T18:37:47Z
3,JYLdTuL9Wjw,2190077,,8496,223,2009-06-12T00:30:26Z,Harry Potter and The Half Blood Prince Trailer #4,Warner Bros. Pictures,2009-06-12T00:30:26Z
4,rDyk2szNdM0,95108,10,197,9,2009-06-20T16:53:56Z,HP4 - Harry Potter et la coupe de feu - Bande annonce 1 VF,ulyne59,2009-06-20T16:53:56Z
5,8uabskh0o3k,419461,715,1325,131,2009-06-30T22:27:20Z,Harry Potter and the Half-Blood Prince Game Review,IGN,2009-06-30T22:27:20Z
6,qVON4in0ZdA,608475,200,2274,32,2009-07-07T22:43:16Z,Harry Potter and the Half Blood Prince book scene,bollycutie2012,2009-07-07T22:43:16Z
7,Bog-AylWcdU,223689,130,1934,33,2009-07-13T19:21:24Z,"HARRY POTTER AND THE HALF BLOOD PRINCE Interviews -- Daniel Radcliffe, Emma Watson and Rupert Grint",Jake Hamilton,2009-07-13T19:21:24Z
8,vCp7m5eFDAo,1089040,1359,3050,82,2009-07-14T12:18:22Z,Ginny Weasley &amp; Lavender Brown - Harry Potter Love Interests - Who will Harry Marry?,Movies Ireland,2009-07-14T12:18:22Z
9,wTHn5oFPmi8,21889545,32551,99860,7689,2009-07-14T20:39:51Z,Harry Potter vs. Voldemort Rap : Original Short,Indy Mogul,2009-07-14T20:39:51Z
10,Y616xJLOMmc,250568,219,876,24,2009-07-15T18:06:49Z,Harry Potter and the Half Blood Prince - The Horcruxes,Fenicksss,2009-07-15T18:06:49Z
11,L2IoLrvWuNE,47552,68,268,11,2009-07-15T21:33:17Z,Harry Potter Premiere,Seventeen,2009-07-15T21:33:17Z
12,wgkHfUaG1nI,326419,92,2459,46,2009-07-17T14:00:03Z,Harry Potter e o Enigma do Príncipe - Trailer Final,Warner Bros. Pictures Brasil,2009-07-17T14:00:03Z
13,inSjePhFe2o,467376,1671,8991,117,2009-07-19T12:10:52Z,Harry Potter Caramelldansen ｳｯｰｳｯｰｳﾏｳﾏ(ﾟ∀ﾟ),Xaikra,2009-07-19T12:10:52Z
14,0qv0-BFMXqc,518280,715,3837,31,2009-07-21T17:03:41Z,26. &quot;Dumbledore&#39;s Farewell&quot; - Harry Potter and the Half-Blood Prince Soundtrack,Harry Potter Art,2009-07-21T17:03:41Z
15,CrM0iFPhIC8,192724,62,1258,31,2009-07-22T15:56:45Z,Pro 7 Spezial: Harry Potter und der Halbblutprinz [2/7],Isi Patd,2009-07-22T15:56:45Z
16,oQISw4NDHVA,2961631,3038,18823,254,2009-07-23T15:30:46Z,Harry Potter -  Possession - HD,Cation,2009-07-23T15:30:46Z
17,DVcUiNc_ADQ,963525,2874,34413,314,2009-07-30T16:22:35Z,Harry Potter Zeitschriften PATZER Folge 2 (für&#39;n Arsch),coldmirror,2009-07-30T16:22:35Z
18,ExGz-Q7IKJo,65617,55,400,14,2009-08-02T03:25:09Z,"Deliver Us, Harry Potter!",itachifan1243,2009-08-02T03:25:09Z
19,_K2d-eNyJMg,561913,559,4081,84,2009-08-09T06:07:31Z,Harry Potter and Half Blood Prince Dumbledore First Meets Young Tom Riddle FULL SCENE HIGH QUALITY,xtheRainmakerx,2009-08-09T06:07:31Z
20,gdAgnkh_tr8,251061,136,1484,44,2009-08-31T17:58:47Z,Harry Potter és az Azkabani fogoly: Varázs varázs (Double Trouble),holdyoucolour,2009-08-31T17:58:47Z
21,dYlNi5pDeDU,5811627,3909,35801,2746,2009-09-02T17:01:39Z,Harry Potter and the Douchebag Magicians,CollegeHumor,2009-09-02T17:01:39Z
22,uqxUcRjJs1A,143144,35,791,25,2009-09-22T09:33:35Z,Harry Potter [Pump It],fcpsaraemidio,2009-09-22T09:33:35Z
23,SKhgwCPYBks,768157,349,2102,60,2009-09-27T13:04:53Z,Lucius Malfoy Harry Potter and the Chamber of Secrets,Terrabella,2009-09-27T13:04:53Z
24,_J5uMqy5l6Y,11511,25,140,18,2009-09-28T05:58:33Z,&quot;Harry Potter&quot;- Harry and the Potters,Raquel Hagman,2009-09-28T05:58:33Z
25,IGlpsqMePs8,289285,426,2317,27,2009-10-05T19:26:50Z,Robert Pattinson - Funny Interview - Harry Potter,TwilightVideosonly,2009-10-05T19:26:50Z
26,Fmto8Zf5cew,297013,93,1554,52,2009-10-13T17:08:41Z,Harry Potter- Now or Never (High School Musical 3),TheStarRose,2009-10-13T17:08:41Z
27,xzmgd1Ejsvo,190260,534,2007,48,2009-10-24T00:32:36Z,Harry Potter and the Chamber of Secrets Censored,ThisWouldBeMike,2009-10-24T00:32:36Z
28,Mo-U5iOinM8,506320,407,1750,65,2009-11-23T20:40:20Z,Death Eater Attack -- Harry Potter and the Half-Blood Prince,BellaLestrangeFan,2009-11-23T20:40:20Z
29,pCawjbMysBg,2422711,1522,33282,829,2009-12-28T14:26:54Z,Harry Potter and the Magic of Puberty,PistolShrimps,2009-12-28T14:26:54Z
30,0nVQPwH2m4s,631918,995,2743,69,2009-12-29T13:36:03Z,Harry Potter &amp; Half-Blood Prince - Potion of Despair - HD 720p,Cation,2009-12-29T13:36:03Z
31,h7OvAK0wFoA,2234026,1121,8201,302,2009-12-29T20:26:25Z,Harry Potter- The Quidditch World Cup,HarryPoterDude,2009-12-29T20:26:25Z
32,ruG8d5df2E4,98502,177,774,10,2010-01-11T06:33:37Z,Harry Potter and the Half Blood Prince - Raise ur wand -  HD 720p,Cation,2010-01-11T06:33:37Z
33,f9mUJTmFuZg,83006,101,493,12,2010-01-15T14:26:10Z,Harry Potter Unreleased Deleted Scenes Photos (UPDATED),sportsman893,2010-01-15T14:26:10Z
34,aG4PvM3TvlA,488113,125,2763,55,2010-01-17T05:23:15Z,Harry Potter-Take it Off,tywhistler,2010-01-17T05:23:15Z
35,OOXBKdi9E7Y,485197,592,3870,37,2010-01-23T21:03:21Z,Harry Potter and the Goblet of Fire Deleted Scene: Hogwarts School Song,inferi07,2010-01-23T21:03:21Z
36,SAJcopQyr3o,110024,110,145,8,2010-02-06T21:51:57Z,10-Minute Gameplay - Harry Potter: Quidditch World Cup (GameCube),ZeroApostle4Ever,2010-02-06T21:51:57Z
37,vnWu6TBghKQ,122990,1361,1037,26,2010-02-12T00:24:51Z,Harry Potter vs. Lord of the Rings Trailer,videoedits1988,2010-02-12T00:24:51Z
38,rH63g-pBxr8,109055,,815,185,2010-02-19T06:46:04Z,harry potter the way it should have been part 1,MsAdorableIdiot,2010-02-19T06:46:04Z
39,gMSir2IGtio,44008,24,305,9,2010-02-28T07:08:34Z,Fashion - Harry Potter {almost everyone},TwilightstarJasper,2010-02-28T07:08:34Z
40,a6PEamjmjBU,137954,51,474,11,2010-03-18T22:53:38Z,Sneak peek at Harry Potter and the Forbidden Journey ride at Universal Orlando,Attractions Magazine,2010-03-18T22:53:38Z
41,s8zBR1l4Tgc,108231,27,351,12,2010-03-24T16:54:20Z,Harry Potter Book Trailer,Scholastic,2010-03-24T16:54:20Z
42,-N8x0Fb3Rxg,1051510,729,13166,318,2010-04-01T18:27:57Z,Harry Potter and Hermione&#39;s Stalker,PistolShrimps,2010-04-01T18:27:57Z
43,cwO15OdcoVM,203663,79,1627,30,2010-04-04T17:32:04Z,Harry Potter - Hero - Skillet,Leanneps95,2010-04-04T17:32:04Z
44,a7kkFVhh_K4,65610,39,384,15,2010-04-10T18:27:57Z,Harry Potter - The Circle Of Life,Leanneps95,2010-04-10T18:27:57Z
45,WE4AJuIvG1Y,87526,8,386,24,2010-05-16T13:10:52Z,Harry Potter y la Piedra Filosofal (Trailer español),Cine Fantasía,2010-05-16T13:10:52Z
46,HA0rtgPyPws,4499512,2579,36310,471,2010-05-21T20:32:41Z,Harry Potter movie stars visit The Wizarding World of Harry Potter,Attractions Magazine,2010-05-21T20:32:41Z
47,Rr4zIpqrro4,7160972,4638,113179,2015,2010-05-24T13:09:27Z,Stars of Harry Potter visit Hogsmeade,Simon Willmore,2010-05-24T13:09:27Z
48,IToNsJuf6RM,61354,53,707,3,2010-05-26T22:42:51Z,NMA 2010 - Harry Potter Wins Best Family Film &amp; Special Recognition Award,Magical-Menagerie,2010-05-26T22:42:51Z
49,CCvxmI6sIA8,586689,485,1548,45,2010-05-29T21:39:08Z,Harry Potter and the Forbidden Journey queue at the Wizarding World in Universal Orlando,Inside the Magic,2010-05-29T21:39:08Z
