,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle,publishTime
0,dYlNi5pDeDU,5811627,35801,2746,3909,2009-09-02T17:01:39Z,Harry Potter and the Douchebag Magicians,CollegeHumor,2009-09-02T17:01:39Z
1,sRieJ8ua-9o,140404,723,13,27,2009-09-05T20:57:18Z,Harry Potter und der Halbblutprinz - Trailer Deutsch [HD],Filmvorschau,2009-09-05T20:57:18Z
2,uqxUcRjJs1A,143144,791,25,35,2009-09-22T09:33:35Z,Harry Potter [Pump It],fcpsaraemidio,2009-09-22T09:33:35Z
3,SKhgwCPYBks,768157,2102,60,349,2009-09-27T13:04:53Z,Lucius Malfoy Harry Potter and the Chamber of Secrets,Terrabella,2009-09-27T13:04:53Z
4,Fmto8Zf5cew,297013,1554,52,93,2009-10-13T17:08:41Z,Harry Potter- Now or Never (High School Musical 3),TheStarRose,2009-10-13T17:08:41Z
5,xzmgd1Ejsvo,190260,2007,48,534,2009-10-24T00:32:36Z,Harry Potter and the Chamber of Secrets Censored,ThisWouldBeMike,2009-10-24T00:32:36Z
6,Mo-U5iOinM8,506320,1750,65,407,2009-11-23T20:40:20Z,Death Eater Attack -- Harry Potter and the Half-Blood Prince,BellaLestrangeFan,2009-11-23T20:40:20Z
7,pCawjbMysBg,2422711,33282,829,1522,2009-12-28T14:26:54Z,Harry Potter and the Magic of Puberty,PistolShrimps,2009-12-28T14:26:54Z
8,0nVQPwH2m4s,631918,2743,69,995,2009-12-29T13:36:03Z,Harry Potter &amp; Half-Blood Prince - Potion of Despair - HD 720p,Cation,2009-12-29T13:36:03Z
9,h7OvAK0wFoA,2234026,8201,302,1121,2009-12-29T20:26:25Z,Harry Potter- The Quidditch World Cup,HarryPoterDude,2009-12-29T20:26:25Z
10,ruG8d5df2E4,98502,774,10,177,2010-01-11T06:33:37Z,Harry Potter and the Half Blood Prince - Raise ur wand -  HD 720p,Cation,2010-01-11T06:33:37Z
11,f9mUJTmFuZg,83006,493,12,101,2010-01-15T14:26:10Z,Harry Potter Unreleased Deleted Scenes Photos (UPDATED),sportsman893,2010-01-15T14:26:10Z
12,aG4PvM3TvlA,488113,2763,55,125,2010-01-17T05:23:15Z,Harry Potter-Take it Off,tywhistler,2010-01-17T05:23:15Z
13,OOXBKdi9E7Y,485197,3870,37,592,2010-01-23T21:03:21Z,Harry Potter and the Goblet of Fire Deleted Scene: Hogwarts School Song,inferi07,2010-01-23T21:03:21Z
14,rH63g-pBxr8,109055,815,185,,2010-02-19T06:46:04Z,harry potter the way it should have been part 1,MsAdorableIdiot,2010-02-19T06:46:04Z
15,gMSir2IGtio,44008,305,9,24,2010-02-28T07:08:34Z,Fashion - Harry Potter {almost everyone},TwilightstarJasper,2010-02-28T07:08:34Z
16,s8zBR1l4Tgc,108231,351,12,27,2010-03-24T16:54:20Z,Harry Potter Book Trailer,Scholastic,2010-03-24T16:54:20Z
17,-N8x0Fb3Rxg,1051510,13166,318,729,2010-04-01T18:27:57Z,Harry Potter and Hermione&#39;s Stalker,PistolShrimps,2010-04-01T18:27:57Z
18,cwO15OdcoVM,203663,1627,30,79,2010-04-04T17:32:04Z,Harry Potter - Hero - Skillet,Leanneps95,2010-04-04T17:32:04Z
19,35bvyQ3Vau4,277644,3215,53,132,2010-04-06T17:33:51Z,Harry Potter e la camera dei segreti-scene eliminate p2,weasleylion,2010-04-06T17:33:51Z
20,a7kkFVhh_K4,65610,384,15,39,2010-04-10T18:27:57Z,Harry Potter - The Circle Of Life,Leanneps95,2010-04-10T18:27:57Z
21,Rr4zIpqrro4,7160972,113179,2015,4638,2010-05-24T13:09:27Z,Stars of Harry Potter visit Hogsmeade,Simon Willmore,2010-05-24T13:09:27Z
22,CCvxmI6sIA8,586689,1548,45,485,2010-05-29T21:39:08Z,Harry Potter and the Forbidden Journey queue at the Wizarding World in Universal Orlando,Inside the Magic,2010-05-29T21:39:08Z
23,bz84637ot0c,2141460,2687,678,2419,2010-06-01T16:49:18Z,Harry Potter and the Deathly Hallows Trailer - E3 2010,IGN,2010-06-01T16:49:18Z
24,l5gimkebIDA,286553,2301,41,71,2010-06-09T22:27:09Z,Harry Potter AMV Airplanes,itsatwinthing4,2010-06-09T22:27:09Z
25,uN9bwZWYAmw,1392869,7443,1463,1821,2010-06-17T13:56:02Z,Harry Potter: The Next Generation,Sonali Sethi,2010-06-17T13:56:02Z
26,ramuWv8rqpg,241926,1213,19,222,2010-06-18T18:13:24Z,Grand opening of the Wizarding World of Harry Potter with Daniel Radcliffe &amp; other movie stars,Inside the Magic,2010-06-18T18:13:24Z
27,ZlCmd5EWHsA,38277,164,2,,2010-06-21T17:30:30Z,Wizarding World of Harry Potter Park Grand Opening,Destinations in Florida,2010-06-21T17:30:30Z
28,lbN8qjvu82E,297369,1451,28,528,2010-06-23T19:51:19Z,Best of RiffTrax&#39;s Harry Potter and the Goblet of Fire,Damar158,2010-06-23T19:51:19Z
29,wyT7QovU2mA,2315839,13892,223,635,2010-06-26T18:55:45Z,Harry Potter - Backstage Funny Moments,GarbageGurls,2010-06-26T18:55:45Z
30,9hXH0Ackz6w,4398510,22877,407,3799,2010-06-28T23:06:50Z,Harry Potter and the Deathly Hallows Official HD Trailer,Warner Bros. Pictures,2010-06-28T23:06:50Z
31,oBZ5sqPDrkU,1034388,1821,132,800,2010-06-30T00:03:38Z,LEGO Harry Potter: Years 1-4 Review,IGN,2010-06-30T00:03:38Z
32,wkvyc0AdM8M,865993,1766,87,642,2010-06-30T15:19:50Z,HARRY POTTER UND DIE HEILIGTÜMER DES TODES (TEIL 1) | Trailer [HD],vipmagazin,2010-06-30T15:19:50Z
33,LWEc_rwF4KA,1068945,2718,108,1100,2010-06-30T17:22:23Z,Harry Potter and the Deathly Hallows: Part I Trailer [HD],IGN,2010-06-30T17:22:23Z
34,84nUq4uStQA,19269031,223062,3056,5550,2010-07-01T04:12:29Z,Harry Potter - Fun on the Set * from the Collectors Edition of LEGO HP*,RadcliffeWatson,2010-07-01T04:12:29Z
35,ESLspJbqM5g,336324,2007,68,135,2010-07-13T14:54:02Z,Harry Potter e i Doni della Morte - Nuovo trailer italiano in HD,Warner Bros. Italia,2010-07-13T14:54:02Z
36,H_bk1W754Sc,942480,5177,186,327,2010-07-30T04:13:05Z,Emma Watson and the Boys of Harry Potter,harryharryp0tter,2010-07-30T04:13:05Z
37,DZMVMgEKqx8,2030435,13969,927,589,2010-08-02T02:33:53Z,Harry Potter Through The Years: My Tribute,pixargal007,2010-08-02T02:33:53Z
38,u9wmE_DzXiQ,67141,609,18,105,2010-08-13T09:52:52Z,Be Prepared - Harry Potter Style!,msshayxpear,2010-08-13T09:52:52Z
39,qluFe7Gelzw,141286,172,32,35,2010-08-14T21:51:12Z,LEGO Harry Potter Walkthrough - Year Four: The Quidditch World Cup Part 1,MahaloVideoGames,2010-08-14T21:51:12Z
40,aRPjirCuAEA,739730,601,99,68,2010-08-17T01:57:14Z,LEGO Harry Potter(Year 2) - 12~The Basilisk[Part 2]/Ending for Year 2,SkYari Temaki,2010-08-17T01:57:14Z
41,-Li9knvJbt4,61957,450,7,15,2010-08-27T12:41:08Z,HARRY POTTER 7 - Mini Making-of &quot;Forest Run&quot; DE,Warner Bros. DE,2010-08-27T12:41:08Z
42,VmyCIY0mZsI,1216902,4499,134,834,2010-08-31T07:28:36Z,Harry Potter and the Half Blood Prince: Potions with Slughorn,dyingfoetus,2010-08-31T07:28:36Z
43,XV61Q9V0HvQ,253774,2171,36,131,2010-09-05T22:25:42Z,Harry Potter - Firework - Fanvid (Katy Perry),TimeSpaceandMagic,2010-09-05T22:25:42Z
44,tI7FkF3Z6ms,8826315,70762,965,22143,2010-09-09T10:48:29Z,Potter Puppet Pals: Harry&#39;s Nightmares,potterpuppetpals,2010-09-09T10:48:29Z
45,JrjZdVSzBMA,158795,297,3,34,2010-09-10T22:30:07Z,Harry Potter and the Deathly Hallows - TV Spot #1,Warner Bros. Pictures,2010-09-10T22:30:07Z
46,YzfEH0UPEBo,12574812,51642,1297,11051,2010-09-23T01:41:48Z,Harry Potter and the Deathly Hallows Part 1 Trailer 2 Official HD,ClevverTV,2010-09-23T01:41:48Z
47,Su1LOpjvdZ4,1471497,7123,89,1556,2010-09-23T01:51:47Z,Harry Potter and the Deathly Hallows - Main Trailer,Warner Bros. Pictures,2010-09-23T01:51:47Z
48,oCjNo7QjeuI,399949,1285,48,422,2010-09-23T15:10:05Z,&#39;Harry Potter and the Deathly Hallows - Part 1&#39; Trailer,hollywoodstreams,2010-09-23T15:10:05Z
49,HgZZsnleZJQ,407786,1599,40,148,2010-09-29T12:49:03Z,Harry Potter et Les Reliques de la Mort - Partie 1 - Bande Annonce Officielle (VF),Warner Bros. France,2010-09-29T12:49:03Z
