,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,rCP-E9HDd1I,230354,1870,25,155,2010-06-18T04:56:51.000Z,Full Wizarding World opening fireworks show - Harry Potter film stars light Hogwarts Castle,Attractions Magazine
1,GCWaBPnZ0LA,742646,8412,45,778,2010-06-20T00:11:24.000Z,"Opening overview of Wizarding World of Harry Potter with J.K. Rowling, Daniel Radcliffe &amp; more",Attractions Magazine
2,9hXH0Ackz6w,4398510,22877,407,3799,2010-06-28T23:06:50.000Z,Harry Potter and the Deathly Hallows Official HD Trailer,Warner Bros. Pictures
3,TtOHsprO25g,202983,891,24,93,2010-06-30T08:50:55.000Z,Harry Potter et les Reliques de la Mort - Bande Annonce Officielle (VF) - Daniel Radcliff,Warner Bros. France
4,wkvyc0AdM8M,865993,1766,87,642,2010-06-30T15:19:50.000Z,HARRY POTTER UND DIE HEILIGTÜMER DES TODES (TEIL 1) | Trailer [HD],vipmagazin
5,ESLspJbqM5g,336324,2007,68,135,2010-07-13T14:54:02.000Z,Harry Potter e i Doni della Morte - Nuovo trailer italiano in HD,Warner Bros. Italia
6,DZMVMgEKqx8,2030435,13969,927,589,2010-08-02T02:33:53.000Z,Harry Potter Through The Years: My Tribute,pixargal007
7,XV61Q9V0HvQ,253774,2171,36,131,2010-09-05T22:25:42.000Z,Harry Potter - Firework - Fanvid (Katy Perry),TimeSpaceandMagic
8,YzfEH0UPEBo,12574812,51642,1297,11051,2010-09-23T01:41:48.000Z,Harry Potter and the Deathly Hallows Part 1 Trailer 2 Official HD,ClevverTV
9,Su1LOpjvdZ4,1471497,7123,89,1556,2010-09-23T01:51:47.000Z,Harry Potter and the Deathly Hallows - Main Trailer,Warner Bros. Pictures
10,jkravVDDNmI,451921,5547,124,562,2010-10-12T19:18:30.000Z,Ellen Experiences &#39;The Wizarding World of Harry Potter&#39;!,TheEllenShow
11,TlfweZUgCQs,543133,1918,48,299,2010-10-21T14:12:28.000Z,HARRY POTTER UND DIE HEILIGTÜMER DES TODES - Teil 1 - Trailer Deutsch HD German,Warner Bros. DE
12,thh_3HyQozM,382592,736,21,167,2010-10-21T16:10:57.000Z,HARRY POTTER UND DIE HEILIGTÜMER DES TODES (TEIL 1) | Trailer #2 [HD],vipmagazin
13,-MtBaFKa_F4,50544977,165743,43189,23498,2010-11-19T20:02:36.000Z,HARRY POTTER DELETED SCENES!,Smosh
14,sk5I27gTOj0,916023,3110,65,620,2010-11-24T19:21:59.000Z,Harry Potter and the Deathly Hallows - Part 1: Cafe Attack Scene,Warner Bros. Pictures
15,V9DGXTDZMp8,175067,1677,17,280,2011-04-02T20:46:05.000Z,Harry Potter and the Deathly Hallows - Part 1: Deleted Scenes,Tony T
