,viewCount,date,Title_book,Copies_Sold_approx,Title_movies,Production_Budget,Opening_Weekend,Domestic_Boxoffice_Sales,Wordwide_Boxoffice_Sales,Dom_DVD_Sales,Dom_BRAY_Sales,Total_Dom_Video_Sales
0,199917.8,2008-01-01,,,,,,,,,,
1,274452.86,2008-02-01,,,,,,,,,,
2,205203.06,2008-03-01,,,,,,,,,,
3,403787.16,2008-04-01,,,,,,,,,,
4,701851.44,2008-05-01,,,,,,,,,,
5,277826.86,2008-06-01,,,,,,,,,,
6,224810.92,2008-07-01,,,,,,,,,,
7,102966.8,2008-08-01,,,,,,,,,,
8,140584.34,2008-09-01,,,,,,,,,,
9,435348.96,2008-10-01,,,,,,,,,,
10,193854.08,2008-11-01,,,,,,,,,,
11,90531.56,2008-12-01,,,,,,,,,,
12,353863.2,2009-01-01,,,,,,,,,,
13,407501.32,2009-02-01,,,,,,,,,,
14,233866.94,2009-03-01,,,,,,,,,,
15,440589.34,2009-04-01,,,,,,,,,,
16,83886.46,2009-05-01,,,,,,,,,,
17,275711.52,2009-06-01,,,,,,,,,,
18,1221963.32,2009-07-01,,,Harry Potter and the Half-Blood Prince,250000000.0,77835727.0,302089278.0,935213767.0,148064710.0,51295786.0,199360496.0
19,324404.72,2009-08-01,,,,,,,,,,
20,553547.7,2009-09-01,,,,,,,,,,
21,189360.16,2009-10-01,,,,,,,,,,
22,305172.58,2009-11-01,,,,,,,,,,
23,234287.5,2009-12-01,,,,,,,,,,
24,280141.3,2010-01-01,,,,,,,,,,
25,74489.4,2010-02-01,,,,,,,,,,
26,61643.74,2010-03-01,,,,,,,,,,
27,143248.32,2010-04-01,,,,,,,,,,
28,455114.14,2010-05-01,,,,,,,,,,
29,1201283.98,2010-06-01,,,,,,,,,,
30,1476563.18,2010-07-01,,,,,,,,,,
31,224391.12,2010-08-01,,,,,,,,,,
32,1030701.34,2010-09-01,,,,,,,,,,
33,412273.34,2010-10-01,,,,,,,,,,
34,1553329.78,2010-11-01,,,Harry Potter and the Deathly Hollows I,125000000.0,125017372.0,296131568.0,960431568.0,95762486.0,61118715.0,156881201.0
35,429103.16,2010-12-01,,,,,,,,,,
36,510032.78,2011-01-01,,,,,,,,,,
37,421623.1,2011-02-01,,,,,,,,,,
38,241505.32,2011-03-01,,,,,,,,,,
39,853324.76,2011-04-01,,,,,,,,,,
40,1451287.62,2011-05-01,,,,,,,,,,
41,744012.92,2011-06-01,,,,,,,,,,
42,3923727.06,2011-07-01,,,Harry Potter and the Deathly Hollows II,125000000.0,169189427.0,381193157.0,1341693157.0,102461187.0,60066364.0,162527551.0
43,1566996.28,2011-08-01,,,,,,,,,,
44,400990.48,2011-09-01,,,,,,,,,,
45,6626869.8,2011-10-01,,,,,,,,,,
46,2129942.42,2011-11-01,,,,,,,,,,
47,1185402.62,2011-12-01,,,,,,,,,,
48,948817.4,2012-01-01,,,,,,,,,,
49,454609.46,2012-02-01,,,,,,,,,,
50,369817.86,2012-03-01,,,,,,,,,,
51,986779.66,2012-04-01,,,,,,,,,,
52,1490889.14,2012-05-01,,,,,,,,,,
53,509199.12,2012-06-01,,,,,,,,,,
54,711100.18,2012-07-01,,,,,,,,,,
55,691556.02,2012-08-01,,,,,,,,,,
56,1254353.64,2012-09-01,,,,,,,,,,
57,877097.72,2012-10-01,,,,,,,,,,
58,1622910.72,2012-11-01,,,,,,,,,,
59,373530.16,2012-12-01,,,,,,,,,,
60,,1997-06-01,Harry Potter and the Sorcerers Stone,120000000.0,,,,,,,,
61,,1998-07-01,Harry Potter and the Chamber of Secrets,77000000.0,,,,,,,,
62,,1999-07-01,Harry Potter and the Prisoner of Askaban,65000000.0,,,,,,,,
63,,2000-07-01,Harry Potter and the Goblet of Fire,65000000.0,,,,,,,,
64,,2001-11-01,,,Harry Potter and the Sorcerers Stone,125000000.0,90294621.0,317871467.0,975047606.0,0.0,0.0,0.0
65,,2002-11-01,,,Harry Potter and the Chamber of Secrets,100000000.0,88357488.0,262233381.0,879225135.0,0.0,0.0,0.0
66,,2003-06-01,Harry Potter and the Order of Phoenix,65000000.0,,,,,,,,
67,,2004-06-01,,,Harry Potter and the Prisoner of Askaban,130000000.0,93687367.0,249757726.0,795616337.0,0.0,0.0,0.0
68,,2005-07-01,Harry Potter and the Half-Blood Prince,65000000.0,,,,,,,,
69,,2005-11-01,,,Harry Potter and the Goblet of Fire,150000000.0,102685961.0,290201752.0,897099794.0,542640844.0,6237064.0,548877908.0
70,,2007-07-01,Harry Potter and the Deathly Hollows II,65000000.0,Harry Potter and the Order of Phoenix,150000000.0,77108414.0,292137260.0,943076457.0,254270750.0,5206421.0,259477171.0
71,,2007-07-01,Harry Potter and the Deathly Hollows I,65000000.0,Harry Potter and the Order of Phoenix,150000000.0,77108414.0,292137260.0,943076457.0,254270750.0,5206421.0,259477171.0
