,viewCount,date,Title_book,Copies_Sold_approx,Title_movies,Production_Budget,Opening_Weekend,Domestic_Boxoffice_Sales,Wordwide_Boxoffice_Sales,Dom_DVD_Sales,Dom_BRAY_Sales,Total_Dom_Video_Sales
0,118731.8,2008-01-01,,,,,,,,,,
1,81066.5,2008-02-01,,,,,,,,,,
2,107177.16,2008-03-01,,,,,,,,,,
3,67233.24,2008-04-01,,,,,,,,,,
4,662448.92,2008-05-01,,,,,,,,,,
5,409794.48,2008-06-01,,,,,,,,,,
6,192147.86,2008-07-01,,,,,,,,,,
7,306358.7,2008-08-01,,,,,,,,,,
8,230569.38,2008-09-01,,,,,,,,,,
9,238899.1,2008-10-01,,,,,,,,,,
10,338765.8,2008-11-01,,,,,,,,,,
11,902172.64,2008-12-01,,,,,,,,,,
12,1470875.42,2009-01-01,,,,,,,,,,
13,2384673.12,2009-02-01,,,,,,,,,,
14,1060933.84,2009-03-01,,,,,,,,,,
15,110520.92,2009-04-01,,,,,,,,,,
16,95649.7,2009-05-01,,,,,,,,,,
17,187569.18,2009-06-01,,,,,,,,,,
18,180481.78,2009-07-01,,,Harry Potter and the Half-Blood Prince,250000000.0,77835727.0,302089278.0,935213767.0,148064710.0,51295786.0,199360496.0
19,80320.82,2009-08-01,,,,,,,,,,
20,1237943.88,2009-09-01,,,,,,,,,,
21,93669.46,2009-10-01,,,,,,,,,,
22,318052.86,2009-11-01,,,,,,,,,,
23,734487.14,2009-12-01,,,,,,,,,,
24,66324.88,2010-01-01,,,,,,,,,,
25,72805.02,2010-02-01,,,,,,,,,,
26,297803.1,2010-03-01,,,,,,,,,,
27,473959.72,2010-04-01,,,,,,,,,,
28,515203.04,2010-05-01,,,,,,,,,,
29,1055309.46,2010-06-01,,,,,,,,,,
30,511081.24,2010-07-01,,,,,,,,,,
31,214613.4,2010-08-01,,,,,,,,,,
32,1483640.58,2010-09-01,,,,,,,,,,
33,322228.62,2010-10-01,,,,,,,,,,
34,119613.0,2010-11-01,,,Harry Potter and the Deathly Hollows I,125000000.0,125017372.0,296131568.0,960431568.0,95762486.0,61118715.0,156881201.0
35,432650.56,2010-12-01,,,,,,,,,,
36,115013.38,2011-01-01,,,,,,,,,,
37,76336.98,2011-02-01,,,,,,,,,,
38,218625.44,2011-03-01,,,,,,,,,,
39,1166010.6,2011-04-01,,,,,,,,,,
40,1008686.66,2011-05-01,,,,,,,,,,
41,388333.92,2011-06-01,,,,,,,,,,
42,558320.24,2011-07-01,,,Harry Potter and the Deathly Hollows II,125000000.0,169189427.0,381193157.0,1341693157.0,102461187.0,60066364.0,162527551.0
43,82867.9,2011-08-01,,,,,,,,,,
44,363931.06,2011-09-01,,,,,,,,,,
45,464637.82,2011-10-01,,,,,,,,,,
46,327287.9,2011-11-01,,,,,,,,,,
47,624207.54,2011-12-01,,,,,,,,,,
48,85785.1,2012-01-01,,,,,,,,,,
49,484370.26,2012-02-01,,,,,,,,,,
50,495781.08,2012-03-01,,,,,,,,,,
51,1511380.42,2012-04-01,,,,,,,,,,
52,1369519.58,2012-05-01,,,,,,,,,,
53,668720.66,2012-06-01,,,,,,,,,,
54,331607.08,2012-07-01,,,,,,,,,,
55,621457.72,2012-08-01,,,,,,,,,,
56,877643.94,2012-09-01,,,,,,,,,,
57,717143.28,2012-10-01,,,,,,,,,,
58,636607.4,2012-11-01,,,,,,,,,,
59,703736.44,2012-12-01,,,,,,,,,,
60,,1997-06-01,Harry Potter and the Sorcerers Stone,120000000.0,,,,,,,,
61,,1998-07-01,Harry Potter and the Chamber of Secrets,77000000.0,,,,,,,,
62,,1999-07-01,Harry Potter and the Prisoner of Askaban,65000000.0,,,,,,,,
63,,2000-07-01,Harry Potter and the Goblet of Fire,65000000.0,,,,,,,,
64,,2001-11-01,,,Harry Potter and the Sorcerers Stone,125000000.0,90294621.0,317871467.0,975047606.0,0.0,0.0,0.0
65,,2002-11-01,,,Harry Potter and the Chamber of Secrets,100000000.0,88357488.0,262233381.0,879225135.0,0.0,0.0,0.0
66,,2003-06-01,Harry Potter and the Order of Phoenix,65000000.0,,,,,,,,
67,,2004-06-01,,,Harry Potter and the Prisoner of Askaban,130000000.0,93687367.0,249757726.0,795616337.0,0.0,0.0,0.0
68,,2005-07-01,Harry Potter and the Half-Blood Prince,65000000.0,,,,,,,,
69,,2005-11-01,,,Harry Potter and the Goblet of Fire,150000000.0,102685961.0,290201752.0,897099794.0,542640844.0,6237064.0,548877908.0
70,,2007-07-01,Harry Potter and the Deathly Hollows II,65000000.0,Harry Potter and the Order of Phoenix,150000000.0,77108414.0,292137260.0,943076457.0,254270750.0,5206421.0,259477171.0
71,,2007-07-01,Harry Potter and the Deathly Hollows I,65000000.0,Harry Potter and the Order of Phoenix,150000000.0,77108414.0,292137260.0,943076457.0,254270750.0,5206421.0,259477171.0
