,id,viewCount,commentCount,likeCount,dislikeCount,publishedAt,title,channelTitle
0,gyPcxhDO0nQ,65245,21,,,2009-05-15T21:56:57.000Z,Harry Potter es a Felver Herceg trailer #6 (magyar szinkron!!) - HD,Rendor
1,jMNorcn39uo,207500,28,286,4,2009-05-30T07:17:04.000Z,Harry Potter and the Half-Blood Prince [Trailer / 2009],MrGameTube
2,izVQ5R2-69Y,151225,157,296,15,2009-06-08T08:14:55.000Z,Harry Potter and the Half-Blood Prince,BlackTree TV
3,h9dmzYm0Ol0,183859,133,1633,33,2009-06-08T12:28:31.000Z,HARRY POTTER UND DER HALBBLUTPRINZ offizieller Trailer deutsch,Warner Bros. DE
4,JYLdTuL9Wjw,2190076,,8496,223,2009-06-12T00:30:26.000Z,Harry Potter and The Half Blood Prince Trailer #4,Warner Bros. Pictures
5,tTf_5ElN6V0,43196,95,375,9,2009-06-12T22:01:44.000Z,Anastasia Trailer | Harry Potter Style,Weird Girl Vintage
6,v6h-IF7HgBU,31781,10,53,2,2009-06-17T11:59:00.000Z,Harry Potter och de vises sten,Anna Eriksson
7,fcJhR4C0NK4,688981,832,4371,785,2009-06-17T18:03:09.000Z,Trailer | Harry Potter and the Half-Blood Prince,HarryPotter
8,UWDGMxa2xYQ,573,0,4,1,2009-06-24T10:11:34.000Z,Harry Potter and the Half Blood Prince Game Trailer,EA Middle East
9,q8_Sjb0vG7o,44886,6,119,2,2009-06-29T22:22:54.000Z,Harry Potter and the Half-Blood Prince IMAX® Trailer,IMAX
10,PruzWX8tx5Y,477626,138,1791,533,2009-07-02T16:38:58.000Z,Trailer | Harry Potter and the Half-Blood Prince,HarryPotter
11,aGaMoFkOWvs,21122,132,241,11,2009-07-15T23:39:19.000Z,Harry Potter 6 Movie Review: Beyond The Trailer,Beyond The Trailer
12,wgkHfUaG1nI,326419,92,2459,46,2009-07-17T14:00:03.000Z,Harry Potter e o Enigma do Príncipe - Trailer Final,Warner Bros. Pictures Brasil
13,74luWBFHOQk,21116,56,185,11,2009-07-17T17:02:19.000Z,Harry Potter Years 1-5: Relive the Magic,PlayStation
14,Mq_0XlAr36Q,15189,1,19,2,2009-07-18T15:57:20.000Z,Harry Potter and the Sorcerer&#39;s Stone trailer,milaa34
15,3I-zPvWcXN8,40441,18,289,6,2009-07-21T17:11:55.000Z,Restrospective - Tutti gli Harry Potter fino al Principe Mezzosangue,Warner Bros. Italia
16,T3YpJkpYjX0,1751,0,5,3,2009-07-22T01:51:38.000Z,Harry Potter and the Deathly Hallows Movie Trailer [HQ],Poeman
17,AtZjMrSYMsk,12487,21,6,30,2009-08-05T20:21:15.000Z,Harry Potter and the deathly hallows OFFICIAL movie trailer,bombshell333
18,zA-VvLXkVp8,8218,1,6,0,2009-08-07T11:20:58.000Z,Harry Potter And The Half Blood Prince Trailer HD,FilmTrailersChannel
19,TaCY1WdUJIA,22418,11,65,5,2009-09-22T05:24:12.000Z,HARRY POTTER 1-2 BLU-RAY ULTIMATE EXTENDED EDITION Trailer !!!!!!!!,ChillingSaturdaysAfternoon _1988
20,NGmwKX78hv8,33907,4,117,3,2009-10-09T13:50:57.000Z,Harry Potter e Il Prigioniero Di Azkaban Trailer ITA,Sabiniano
21,DxRtUfZ_8RM,1682,1,7,0,2009-11-05T10:49:42.000Z,HARRY POTTER AND THE HALF-BLOOD PRINCE ™ - Official UK Blu-ray trailer - Out 7 December 09,romleydavies
22,vTAXnJuGGHs,35765,23,96,2,2009-11-05T10:57:39.000Z,HARRY POTTER ™ YEARS 1-6 - Official trailer - Out on UK DVD &amp; Blu-ray boxset 7 December 09,romleydavies
23,bCKEyxcTiYc,14023,16,37,6,2009-11-16T04:46:55.000Z,Harry Potter and the Half Blood Prince   Trailer 1 HD 1080p,aWSoMeslEEp
24,0joLbr3O1Ew,156157,29,28,107,2009-11-25T18:45:49.000Z,Harry Potter 7 TRAILER of Deathly Hallows,voidaq
