,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,bZezS6XM1t4,17870,54,15,6,2012-11-02T02:27:34.000Z,Harry Potter and the Sorcerer&#39;s Stone Book Trailer,MorgansLife1999
1,7tM_TDN3ePk,395,4,0,0,2012-11-02T16:55:45.000Z,Harry Potter and the Deathly Hallows: Official Trailer # 1 [HD][Viki Trailers],VikiTrailers
2,qlzYrBC-6CE,3727333,24937,486,,2012-11-19T21:16:24.000Z,Making of &quot;Deathly Hallows -  Part 2&quot;: Neville&#39;s Stand,allpotter323
3,B8QMNM8uE2A,3861,9,2,0,2012-12-23T20:23:02.000Z,&quot;Harry Potter and the Chamber of Secrets&quot; Trailer,NetflixOficial
4,tQbCLIDm4Hk,21906,432,11,45,2013-01-06T14:49:25.000Z,Harry Potter || Series Trailer [Tribute] (Fan Made),TheRedSoxFan18
5,YVk0aWlF9Ec,57240,332,11,24,2013-01-09T16:10:09.000Z,Harry Potter and the Goblet of Fire - Trailer (HD),DutchHPfan1992
6,fkq4nzrrOXs,4371,12,1,2,2013-02-12T15:33:12.000Z,Harry Potter and the Philosophers Stone Trailer HD,CONOCEHP
7,aLyqoLRy608,3144,11,1,0,2013-02-12T17:38:27.000Z,Harry Potter and the Chamber of Secrets Trailer English HD,CONOCEHP
8,EmXeghV0mN0,249574,282,7,20,2013-02-15T04:21:32.000Z,Harry Potter and the Goblet of Fire Trailer English HD,CONOCEHP
9,zkjDFsdvQ6c,6014,114,1,8,2013-02-28T21:30:05.000Z,Harry Potter and the Deathly Hallows Part 2 Teaser Trailer [Fan Made] HD,Jackardy
10,2pc-0PRcSR4,658986,4011,308,698,2013-03-18T16:00:25.000Z,Pottermore Official Trailer (Harry Potter Game),GameNews
11,Hp-ydBT7dJs,200173,1086,25,106,2013-03-22T12:10:59.000Z,Harry Potter and the Deathly Hallows Trailers,Alex Todd
12,EvH_jnqSqKI,6333,60,0,6,2013-03-29T02:16:54.000Z,Harry Potter and the Prisoner of Azkaban (Teaser Trailer #1 - 2004),EgemenUregen
13,rmzyZcbLwvQ,853,0,0,0,2013-04-03T19:34:53.000Z,Harry Potter and the Sorcerers Stone - Trailer #2,TheTrailerArchives
14,kL1aqfnIr2Y,18998061,197153,3945,24242,2013-04-16T17:02:38.000Z,Honest Trailers - Harry Potter,Screen Junkies
15,6j49AJklk9A,258941,,,,2013-05-21T03:25:31.000Z,Harry Potter and the Deathly Hallows - Part 1 - Trailer,YouTube Movies
16,JmkiMxq2Vyo,260260,,,,2013-05-21T03:34:10.000Z,Harry Potter and the Half-Blood Prince - Trailer,YouTube Movies
17,d7i9oQm6q4k,315900,,,,2013-05-21T03:56:34.000Z,Harry Potter and the Prisoner of Azkaban - Trailer,YouTube Movies
18,XBi-RfjbmQQ,1487,2,0,1,2013-06-09T08:37:22.000Z,Harry Potter - Trailer Music Compilation 2013,Mikle Shelmez
19,E9alT_nulIM,191254,495,26,51,2013-06-12T17:16:46.000Z,Harry Potter and the Order of the Phoenix HD Trailer,CONOCEHP
20,ziESsev6_Wg,213826,3070,56,195,2013-06-21T19:55:52.000Z,La Saga Harry Potter-Trailer Completi ita,Vegetto1624
21,jtyB7e7esoA,4159,23,0,0,2013-07-08T13:45:22.000Z,27 - Harry Potter and the Deathly Hallows: Part 2 Teaser Trailer Music,HPotterMusic7
22,u39C2j2o40E,13710,56,2,0,2013-07-17T20:00:53.000Z,Harry Potter: The Complete 8-Film Collection Blu-Ray - Official® Trailer [HD],TrailersPlaygroundHD
23,z8jtIw_Ldgc,929,7,0,0,2013-07-17T20:05:01.000Z,Harry Potter: Years 1-6 Blu-Ray - Official® Trailer [HD],TrailersPlaygroundHD
24,pxH9lDv8ZAI,17461,38,1,1,2013-07-17T20:11:07.000Z,Harry Potter And The Chamber Of Secrets - Official® Trailer [HD],TrailersPlaygroundHD
25,9CmUceipDQU,10043,53,0,2,2013-07-17T20:24:44.000Z,Harry Potter And The Deathly Hallows - Part 1 - Official® Teaser [HD],TrailersPlaygroundHD
26,P2pgfgY6mpI,530,2,1,0,2013-07-17T20:24:49.000Z,Harry Potter And The Deathly Hallows - Part 1 - Official® Trailer [HD],TrailersPlaygroundHD
