,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,_ncvOw-r67Q,1278431,11045,278,979,2008-10-03T15:49:53.000Z,Harry Potter and the Outcasts of Hogwarts,PistolShrimps
1,9xLzlxHxBFA,4286241,87244,1115,6865,2008-10-21T14:42:31.000Z,Harry Potter Zeitschriften PATZER Folge 1,coldmirror
2,J_zU9oBarXo,122440,1237,57,131,2008-10-25T10:13:38.000Z,Harry Potter i Obrońca Pingwinów Ivona,Reverian
3,sgNSxA21CAE,13535,126,29,94,2008-10-28T19:56:05.000Z,John Granger on &quot;Looking for God in Harry Potter&quot;,Tyndale House Publishers
4,voM7T1cd20w,2538533,8806,325,945,2008-10-30T00:44:47.000Z,Harry Potter the Prisoner of Azkaban Harry Hermione part 2,SARBRATHAN
5,OavYqCjM45k,1003399,3547,83,321,2008-10-30T01:03:58.000Z,Harry Potter the Prisoner of Azkaban Harry Hermione part 3,SARBRATHAN
6,HK6sRDBU0K0,1345361,6194,412,639,2008-11-04T06:26:10.000Z,Harry Potter Bathtub Scene,Adair Bartley
7,LqyZfFubnBA,563554,9230,75,905,2008-11-16T14:14:08.000Z,Harry Potter and the Prisoner of Azkaban Interview,Natalia Ławresz
8,8h9o_d18ets,87910,515,16,18,2008-12-16T20:58:38.000Z,Harry Potter e o Enigma do Príncipe - Trailer 2 (dublado),Warner Bros. Pictures Brasil
9,lSZw7KK0FBs,210679,1777,20,306,2008-12-23T03:31:24.000Z,Harry Potter- He Lives in You,DustyFlight
10,D06a47hcd2w,417998,2291,25,603,2009-01-15T20:28:19.000Z,Harry Potter and the Goblet of Fire: Sons of Durmstrang Entrance (HQ),CaptureMaster
11,T8D8vEcZrqM,3538401,33827,1272,1987,2009-01-17T15:36:16.000Z,harry potter musica,jejenat30
12,Bh5zls3_k7s,3890687,36269,522,4243,2009-02-03T09:23:59.000Z,Harry Potter and the Goblet of Fire Deleted Scenes,asila06
13,HiBZKnKEElg,106626,278,11,24,2009-02-03T22:50:11.000Z,Harry Potter Choices Define Us,Bradon French
14,weIbm3m-Xbo,12592760,95367,5133,19680,2009-02-14T03:07:19.000Z,Movies In Minutes - Harry Potter,nigahiga
15,RT0zB47mPfc,621356,8877,161,423,2009-03-05T06:27:21.000Z,Harry Potter Puppet Pals - The Mysterious Ticking Noise (Video With Lyrics),iKRockstar
16,nAQBzjE-kvI,2305078,23402,366,1806,2009-04-16T21:05:47.000Z,Harry Potter Magic Spell - Wingardium Leviosa,MarkArcana
17,ApoAzufKoXI,121138,511,15,91,2009-04-18T16:39:43.000Z,Harry Potter Melez Prens Fragman 6 Türkçe Altyazı,Tugay Gökdeniz
18,SBjUwA4GH2c,120843,1289,16,25,2009-04-22T06:09:45.000Z,Viva la Vida- Harry Potter Tribute,Karen G
19,_G16VGNL73k,273632,961,23,68,2009-04-24T16:12:17.000Z,Harry Potter e Il Principe Mezzosangue - Terzo Trailer ufficiale,Warner Bros. Italia
20,gyPcxhDO0nQ,65245,,,21,2009-05-15T21:56:57.000Z,Harry Potter es a Felver Herceg trailer #6 (magyar szinkron!!) - HD,Rendor
21,h9dmzYm0Ol0,183863,1633,33,133,2009-06-08T12:28:31.000Z,HARRY POTTER UND DER HALBBLUTPRINZ offizieller Trailer deutsch,Warner Bros. DE
22,5B5dLFFVzw4,1314062,7650,781,1803,2009-06-10T18:37:47.000Z,HARRY POTTER has ADHD? (HD),Oren Kaplan
23,JYLdTuL9Wjw,2190077,8496,223,,2009-06-12T00:30:26.000Z,Harry Potter and The Half Blood Prince Trailer #4,Warner Bros. Pictures
24,rDyk2szNdM0,95108,197,9,10,2009-06-20T16:53:56.000Z,HP4 - Harry Potter et la coupe de feu - Bande annonce 1 VF,ulyne59
25,8uabskh0o3k,419461,1325,131,715,2009-06-30T22:27:20.000Z,Harry Potter and the Half-Blood Prince Game Review,IGN
26,xriH5Oj5FPY,186838,279,25,92,2009-07-02T06:04:23.000Z,Harry Potter and the Half-Blood Prince™ Spells,DallyLama
27,qVON4in0ZdA,608475,2274,32,200,2009-07-07T22:43:16.000Z,Harry Potter and the Half Blood Prince book scene,bollycutie2012
28,Bog-AylWcdU,223689,1934,33,130,2009-07-13T19:21:24.000Z,"HARRY POTTER AND THE HALF BLOOD PRINCE Interviews -- Daniel Radcliffe, Emma Watson and Rupert Grint",Jake Hamilton
29,vCp7m5eFDAo,1089040,3050,82,1359,2009-07-14T12:18:22.000Z,Ginny Weasley &amp; Lavender Brown - Harry Potter Love Interests - Who will Harry Marry?,Movies Ireland
30,wTHn5oFPmi8,21889545,99860,7689,32551,2009-07-14T20:39:51.000Z,Harry Potter vs. Voldemort Rap : Original Short,Indy Mogul
31,i2Gt9m64LBg,964673,20694,513,2939,2009-07-16T02:00:07.000Z,This Isn&#39;t Hogwarts! A Harry Potter Song,vlogbrothers
32,wgkHfUaG1nI,326419,2459,46,92,2009-07-17T14:00:03.000Z,Harry Potter e o Enigma do Príncipe - Trailer Final,Warner Bros. Pictures Brasil
33,inSjePhFe2o,467376,8991,117,1671,2009-07-19T12:10:52.000Z,Harry Potter Caramelldansen ｳｯｰｳｯｰｳﾏｳﾏ(ﾟ∀ﾟ),Xaikra
34,0qv0-BFMXqc,518280,3837,31,715,2009-07-21T17:03:41.000Z,26. &quot;Dumbledore&#39;s Farewell&quot; - Harry Potter and the Half-Blood Prince Soundtrack,Harry Potter Art
35,CrM0iFPhIC8,192724,1258,31,62,2009-07-22T15:56:45.000Z,Pro 7 Spezial: Harry Potter und der Halbblutprinz [2/7],Isi Patd
36,oQISw4NDHVA,2961631,18823,254,3038,2009-07-23T15:30:46.000Z,Harry Potter -  Possession - HD,Cation
37,DVcUiNc_ADQ,963525,34413,314,2874,2009-07-30T16:22:35.000Z,Harry Potter Zeitschriften PATZER Folge 2 (für&#39;n Arsch),coldmirror
38,Ndt-ZMiDi1M,1384498,11649,432,477,2009-07-30T17:19:36.000Z,Harry Potter e il cappello parlante,DODOsalsero
39,ExGz-Q7IKJo,65617,400,14,55,2009-08-02T03:25:09.000Z,"Deliver Us, Harry Potter!",itachifan1243
40,_K2d-eNyJMg,561913,4081,84,559,2009-08-09T06:07:31.000Z,Harry Potter and Half Blood Prince Dumbledore First Meets Young Tom Riddle FULL SCENE HIGH QUALITY,xtheRainmakerx
41,gdAgnkh_tr8,251061,1484,44,136,2009-08-31T17:58:47.000Z,Harry Potter és az Azkabani fogoly: Varázs varázs (Double Trouble),holdyoucolour
42,dYlNi5pDeDU,5811627,35801,2746,3909,2009-09-02T17:01:39.000Z,Harry Potter and the Douchebag Magicians,CollegeHumor
43,6KqiP1_tmJw,168622,329,26,45,2009-09-10T14:29:51.000Z,Harry Potter and the Half Blood Prince Gameplay 19,PotterAndMatrixFan
44,uqxUcRjJs1A,143144,791,25,35,2009-09-22T09:33:35.000Z,Harry Potter [Pump It],fcpsaraemidio
45,SKhgwCPYBks,768157,2102,60,349,2009-09-27T13:04:53.000Z,Lucius Malfoy Harry Potter and the Chamber of Secrets,Terrabella
46,_J5uMqy5l6Y,11511,140,18,25,2009-09-28T05:58:33.000Z,&quot;Harry Potter&quot;- Harry and the Potters,Raquel Hagman
47,IGlpsqMePs8,289285,2317,27,426,2009-10-05T19:26:50.000Z,Robert Pattinson - Funny Interview - Harry Potter,TwilightVideosonly
48,Fmto8Zf5cew,297013,1554,52,93,2009-10-13T17:08:41.000Z,Harry Potter- Now or Never (High School Musical 3),TheStarRose
49,xzmgd1Ejsvo,190260,2007,48,534,2009-10-24T00:32:36.000Z,Harry Potter and the Chamber of Secrets Censored,ThisWouldBeMike
