,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,YzfEH0UPEBo,12574812,51642,1297,11051,2010-09-23T01:41:48.000Z,Harry Potter and the Deathly Hallows Part 1 Trailer 2 Official HD,ClevverTV
1,Su1LOpjvdZ4,1471497,7123,89,1556,2010-09-23T01:51:47.000Z,Harry Potter and the Deathly Hallows - Main Trailer,Warner Bros. Pictures
2,jkravVDDNmI,451921,5547,124,562,2010-10-12T19:18:30.000Z,Ellen Experiences &#39;The Wizarding World of Harry Potter&#39;!,TheEllenShow
3,TlfweZUgCQs,543133,1918,48,299,2010-10-21T14:12:28.000Z,HARRY POTTER UND DIE HEILIGTÜMER DES TODES - Teil 1 - Trailer Deutsch HD German,Warner Bros. DE
4,thh_3HyQozM,382592,736,21,167,2010-10-21T16:10:57.000Z,HARRY POTTER UND DIE HEILIGTÜMER DES TODES (TEIL 1) | Trailer #2 [HD],vipmagazin
5,-MtBaFKa_F4,50544977,165743,43189,23498,2010-11-19T20:02:36.000Z,HARRY POTTER DELETED SCENES!,Smosh
6,sk5I27gTOj0,916023,3110,65,620,2010-11-24T19:21:59.000Z,Harry Potter and the Deathly Hallows - Part 1: Cafe Attack Scene,Warner Bros. Pictures
7,FjU4QjXijHQ,1129209,6429,190,360,2010-11-28T22:38:37.000Z,Harry Potter og De 4 Scener,Newyawn
8,V9DGXTDZMp8,175067,1677,17,280,2011-04-02T20:46:05.000Z,Harry Potter and the Deathly Hallows - Part 1: Deleted Scenes,Tony T
9,mObK5XD8udk,12752788,71354,1376,25707,2011-04-27T18:39:35.000Z,&quot;Harry Potter and the Deathly Hallows - Part 2&quot; Trailer 1,Warner Bros. Pictures
10,v2EYT0ZazAo,3202718,57395,2441,4694,2011-04-28T04:35:06.000Z,Harry Potter and The Order of Umbridge by The Hillywood Show®,The Hillywood Show
11,9DIt7xV6p28,1647585,5517,143,1657,2011-04-29T10:37:51.000Z,HARRY POTTER UND DIE HEILIGTÜMER DES TODES (TEIL 2) | Trailer deutsch german [HD],vipmagazin
12,1AfFyUZK1So,164817,631,13,37,2011-04-29T22:02:52.000Z,Harry Potter et Les Reliques de la Mort - Partie 2 - Bande Annonce Officielle (VF),Warner Bros. France
13,aeJ8OPz4ATY,1089247,597,15,46,2011-04-29T22:04:30.000Z,Harry Potter et Les Reliques de la Mort - Partie 2 - Bande Annonce Officielle (VOST),Warner Bros. France
14,EdZyrH-bmzs,1281515,3160,62,970,2011-04-30T11:53:44.000Z,Harry Potter et les reliques de la mort Partie 2  Bande Annonce Francaise VF (HD),FilmsActu
15,qRQaN_DV6FI,5559062,63022,2833,26980,2011-05-15T02:20:01.000Z,Tribute to everyone who died in Harry Potter,MrGeebee1100
16,50N2eB0JI80,3831674,18114,1231,1778,2011-05-27T02:01:15.000Z,Harry Potter and the Sorcerer&#39;s Stone (1/5) Movie CLIP - Harry&#39;s Birthday (2001) HD,Movieclips
17,cPsIU9BTbcQ,1340026,3515,274,471,2011-05-27T02:05:22.000Z,Harry Potter and the Chamber of Secrets (2/5) Movie CLIP - Reckless Flying (2002) HD,Movieclips
18,_v5g_GFm1W0,3003897,9005,921,646,2011-05-27T02:05:26.000Z,Harry Potter and the Sorcerer&#39;s Stone (3/5) Movie CLIP - Toilet Troll (2001) HD,Movieclips
19,kb7T9oK0tF8,1344530,3993,203,639,2011-05-27T02:12:57.000Z,Harry Potter and the Chamber of Secrets (5/5) Movie CLIP - Basilisk Slayer (2002) HD,Movieclips
20,VKhEFVAoScI,1091887,5056,192,667,2011-05-27T02:40:40.000Z,Harry Potter and the Prisoner of Azkaban (2/5) Movie CLIP - Dementor on the Train (2004) HD,Movieclips
21,W7Ic9rZ9OQw,1393741,5213,206,567,2011-05-27T03:29:06.000Z,Harry Potter and the Goblet of Fire (3/5) Movie CLIP - The Dark Lord Rises (2005) HD,Movieclips
22,9eGwOuyKu1U,1608728,7031,183,685,2011-05-27T03:33:06.000Z,He&#39;s Back - Harry Potter and the Goblet of Fire (5/5) Movie CLIP (2005) HD,Movieclips
23,2bujRZhOt9w,3020688,13631,619,694,2011-05-27T03:36:48.000Z,Harry Battles Voldemort - Harry Potter and the Goblet of Fire (4/5) Movie CLIP (2005) HD,Movieclips
24,hw6GwhfNl7U,2506609,13802,387,929,2011-05-27T03:39:32.000Z,Harry Potter and the Order of the Phoenix (5/5) Movie CLIP - Harry&#39;s Inner Battle (2007) HD,Movieclips
25,V-GgWCBVhrg,1335791,14446,128,912,2011-05-27T18:21:18.000Z,Harry Potter and the Half-Blood Prince #3 Movie CLIP - But I Am the Chosen One (2009) HD,Movieclips
26,I6f0U4QbrIo,782769,5358,138,244,2011-05-28T06:38:41.000Z,Harry Potter and the Deathly Hallows: Part 1 - Seven Harrys (2010) HD,Movieclips
