,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,yH4xNUPhj6g,11603,71,5,55,2010-10-05T05:27:05.000Z,JK Rowling May Write More Harry Potter,The Daily Conversation
1,kzajiMsdLS8,1604,3,3,0,2010-11-12T18:07:46.000Z,Harry Potter and the Deathly Hallows: Part 1,K-State
2,x2sqa6z2rWQ,3337,15,1,0,2010-11-16T13:25:45.000Z,Harry Potter and the deathly hallows world premiere - J.K. Rowling,Jacopo T.
3,nNeFXMWlf6E,1305,4,1,0,2010-11-19T00:29:59.000Z,The last Harry Potter Movie is Out - And It&#39;s Dark,VOA News
4,n95whhD0Hb0,135,4,0,,2010-11-26T04:09:48.000Z,book review : harry potter and the sorcerer&#39;s stone by J.K. ROWLING,Christina's Book Corner
5,E92Ls8SxWTM,4794,34,0,,2010-12-02T15:19:19.000Z,The Magic of JK Rowling,Harvard University
6,KCmxGljmHTY,12721,151,3,22,2010-12-14T00:12:01.000Z,J.K. Rowling and the second Harry Potter book,Second Sight Video & Multimedia
7,L3xDFs8yfOQ,98604,961,11,118,2010-12-22T21:32:09.000Z,Ein Jahr mit JK Rowling [HD] - Part 1/3,mysteriousangelina
8,5whe9XtdQgw,5139618,23064,820,2772,2011-01-02T10:19:59.000Z,Harry Potter &amp; the Sorcerer&#39;s Stone | Harry&#39;s Wand,Cornelius Rue
9,-bhY3qrpmhM,10580,41,3,12,2011-04-11T16:33:56.000Z,Josephine Angelini: Meet the next J.K. Rowling,WatchTheDaily
10,MvX4UblB0q0,2188,23,1,0,2011-05-11T15:40:16.000Z,Harry Potter Book Trailer,Scholastic
11,50N2eB0JI80,3830201,18096,1229,1778,2011-05-27T02:01:15.000Z,Harry Potter and the Sorcerer&#39;s Stone (1/5) Movie CLIP - Harry&#39;s Birthday (2001) HD,Movieclips
12,cPsIU9BTbcQ,1339009,3513,273,471,2011-05-27T02:05:22.000Z,Harry Potter and the Chamber of Secrets (2/5) Movie CLIP - Reckless Flying (2002) HD,Movieclips
13,hw6GwhfNl7U,2505688,13789,387,929,2011-05-27T03:39:32.000Z,Harry Potter and the Order of the Phoenix (5/5) Movie CLIP - Harry&#39;s Inner Battle (2007) HD,Movieclips
14,V-GgWCBVhrg,1335591,14439,128,911,2011-05-27T18:21:18.000Z,Harry Potter and the Half-Blood Prince #3 Movie CLIP - But I Am the Chosen One (2009) HD,Movieclips
15,HsfGv91vAPI,34757,193,9,197,2011-06-16T22:00:25.000Z,J.K. Rowling Launches New &#39;Harry Potter&#39; Website,ClevverTV
16,p06n5hx9H0s,33853,48,0,0,2011-06-17T17:30:53.000Z,J.K. Rowling&#39;s Mystery Project; Harry Potter Author Launches Website for &quot;Pottermore&quot;,Slate
17,uySHEBterB8,15856,49,35,82,2011-06-21T20:05:26.000Z,Daniel Radcliffe Not Involved With J.K. Rowling&#39;s Pottermore,Fandom Entertainment
18,sEu6fNbjbO4,16941,132,4,42,2011-06-23T11:18:52.000Z,Pottermore &#39;Announcement&#39; Trailer,GameZone
19,r8UaAK3WkrY,36904,237,8,147,2011-06-23T12:29:06.000Z,JK Rowling unveils Pottermore website,The Telegraph
20,5d3iDe9tsBI,206,3,0,3,2011-06-23T14:04:06.000Z,J.K. Rowling unveils &quot;Pottermore&quot;,CBS
21,Cw9SauC972s,32677,133,5,186,2011-06-23T14:04:07.000Z,J.K. Rowling unveils &quot;Pottermore&quot;,CBS News
22,n-cJ0Uk9vV8,15038,73,17,,2011-06-23T15:36:08.000Z,More on Potter From JK Rowling,Associated Press
23,_NS6fNQMpns,33757,265,7,51,2011-06-23T16:42:00.000Z,Pottermore launched: JK Rowling on new Harry Potter material,The Telegraph
24,e43TLN9npKc,3199,61,7,23,2011-06-23T22:27:49.000Z,J.K. Rowling Reveals &quot;Harry Potter&quot; Website Pottermore Concept,Fandom Entertainment
25,CbWflbb3et0,10116,74,9,92,2011-06-23T22:31:16.000Z,J.K. Rowling Reveals Details About &#39;Harry Potter&#39; Website &#39;Pottermore&#39;,ClevverTV
26,j_ZVZReu6vU,113909,1562,667,462,2011-06-24T20:25:40.000Z,J.K. Rowling Announces Pottermore (Parody),MediocreFilms
27,ZZxr0snTp0k,1854,8,0,6,2011-06-27T16:32:33.000Z,Using a screen reader with the J K Rowling Harry Potter website,AbilityNet
28,YlSA_P5sj5A,16362,57,1,26,2011-07-06T22:14:30.000Z,No more Potter books from J.K. Rowling say film producers,Digital Spy
29,Uh0809-l8qs,35752,250,7,46,2011-07-07T21:58:03.000Z,JK Rowling interview at the last ever Harry Potter premiere,Absolute Radio
30,7QnyKZe6VBA,785126,10918,64,1569,2011-07-07T23:03:11.000Z,J.K. Rowling&#39;s Emotional Speech at the Harry Potter and the Deathly Hallows Part 2 London Premiere,tzekoulis
31,IXXX14F_lgo,12535774,95882,3681,8010,2011-07-08T04:18:14.000Z,&quot;Harry Potter and the Deathly Hallows - Part 2&quot;  Red Carpet Premiere,Warner Bros. Pictures
32,6sDYFIdmPXY,96391,661,8,61,2011-07-08T18:50:12.000Z,J.K. Rowling talks about the epic journey she has gone on with the Harry Potter films,MakingOf
33,hxMoXjRLj5s,17646,119,16,230,2011-07-09T02:49:55.000Z,J.K. Rowling Talks Future &#39;Harry Potter&#39; Books,Fandom Entertainment
34,mC_wGnuc9mo,124360,1385,26,,2011-07-09T15:11:25.000Z,J.K. Rowling reading the first chapter of  Harry Potter and the Deathly Hallows,Jeff Burden
35,CYVJjpk2fs0,368496,5957,67,417,2011-07-10T19:21:54.000Z,The final live premiere of Harry Potter and the Deathly Hallows Part 2 in London,karolyzazz
36,w9zPOQTQr8o,58889,388,42,113,2011-07-13T14:54:15.000Z,Harry Potter: A Christ Figure,Emory University
37,5ipG6Ua8LJE,5256,35,5,26,2011-07-13T20:31:39.000Z,Brooke Reviews: Harry Potter Series Part 1,1bro2syd
38,iQc7oKh8KjM,1120573,8754,87,1367,2011-07-15T14:53:02.000Z,Alan Rickman Talks &quot;Severus Snape&quot; In &#39;Harry Potter and the Deathly Hallows Pt 2&quot;,Fandom Entertainment
39,T7Xpcls3v0E,147212,1076,18,182,2011-07-15T20:03:04.000Z,J.K. Rowling &#39;Harry Potter and the Deathly Hallows Part 2&#39; Interview,Fandom Entertainment
40,EXBOqWYe8U8,3511,17,1,1,2011-07-16T18:15:21.000Z,&#39;Harry Potter and the Deathly Hallows Part 2&#39; Sets Midnight Showing Record With $43 Million Haul,ABC News
41,p6-6zaa4NI4,1346180,15785,268,1673,2011-07-17T00:27:55.000Z,"J. K. Rowling - A Year In The Life (TV, documentary, 2007) (Egy év J. K. Rowlinggal, dokumentumfilm)",szarka86
42,BjWz_DzjQ4E,5282346,132908,858,6520,2011-07-19T21:24:27.000Z,&quot;Harry Potter and the Deathly Hallows - Part 2&quot;:  It All Ends,Warner Bros. Pictures
43,rMnBcZFNOng,4379,69,1,2,2011-07-24T21:06:28.000Z,Harry Potter : The Story of Snape,romain766
44,GCJRI8vw0Eo,1669,4,0,0,2011-08-03T22:25:07.000Z,Magic Beyond the Words: The JK Rowling Story: Search for an Agent | Lifetime,Lifetime
45,lAxgztbYDbs,2221461,8237,218,725,2011-09-02T16:15:16.000Z,Harry Potter and the Prisoner of Azkaban Official Trailer #1 - (2004) HD,Movieclips
46,wHGqp8lz36c,4819155,52404,1198,2358,2011-09-16T05:52:07.000Z,J.K. Rowling Speaks at Harvard Commencement,Harvard Magazine
47,5ra8GlKRD6A,78315,514,2,92,2011-09-26T21:27:54.000Z,SnitchSeeker - J.K Rowling &amp; Daniel Radcliffe discuss casting Harry Potter,SnitchSeeker.com
48,is-PlLpIbzo,86776,809,11,146,2011-09-27T18:29:26.000Z,Harry Potter and the Deathly Hallows Part 2 | Daniel &amp; J.K. Sit Down | Warner Bros. Entertainment,Warner Bros. Entertainment
