,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle,publishTime
0,EVYmTXjCtbo,1914,21,2,5,2013-06-12T00:33:51Z,JK Rowling&#39;s Harry Potter Book of Potions for PS3,SnitchSeeker.com,2013-06-12T00:33:51Z
1,wA-voPuufao,448498,20735,272,2673,2013-07-12T19:19:58Z,"Oh, JK Rowling - A Harry Potter Song",vlogbrothers,2013-07-12T19:19:58Z
2,fJ_risKF_Rk,3215,43,0,6,2013-07-15T00:40:32Z,Best-Selling Mystery: JK Rowling&#39;s Recent Plot Twist,ABC News,2013-07-15T00:40:32Z
3,cX4Q3jnuKsc,9653,61,1,20,2013-07-15T04:49:01Z,J.K. Rowling praises joys of pseudonym,CNN,2013-07-15T04:49:01Z
4,1VIUeCttkCE,1830,24,2,3,2013-07-15T18:39:43Z,J.K. Rowling is revealed as the author of &quot;The Cuckoo&#39;s Calling&quot;,CBS News,2013-07-15T18:39:43Z
5,bh8XqirjKh4,207454,9609,114,1427,2013-07-15T21:15:45Z,JK Rowling Secret Book,SourceFed,2013-07-15T21:15:45Z
6,fB5eQrZ3-hY,5407,41,2,8,2013-07-15T23:01:13Z,J.K. Rowling&#39;s alter-ego revealed,CNN,2013-07-15T23:01:13Z
7,ptQYWbZ874k,23785,549,50,259,2013-07-15T23:17:49Z,IGN News - J.K. Rowling&#39;s Secret Crime Novel Revealed,IGN,2013-07-15T23:17:49Z
8,l03ipNaJvJo,7452,21,0,3,2013-07-16T19:16:57Z,Harry Potter&#39;s J.K. Rowling: &quot;Cuckoo&#39;s Calling&quot; No.1 Overnight!,Tippy RammaDamma,2013-07-16T19:16:57Z
9,ukKQ09LGyHg,2771,126,1,25,2013-07-18T23:48:36Z,Can you solve JK Rowling&#39;s mystery?,Valuetainment,2013-07-18T23:48:36Z
10,QmG_Iwlxuz0,277,7,0,0,2013-08-06T02:24:39Z,Book Review: Harry Potter and the Sorcerer&#39;s Stone by J.K. Rowling,ScriptureSketches,2013-08-06T02:24:39Z
11,6t4IZNVR0vU,75030,523,24,68,2013-08-24T21:30:13Z,J. K. Rowling on Harry Potter and the Prisoner of Azkaban and the Writing Process (1999 Speech),The Film Archives,2013-08-24T21:30:13Z
12,CQAvoiTVyHo,55506,536,3,56,2013-08-27T13:06:30Z,"Harry Potter, 15 Years Later: J.K. Rowling Speaks!",Scholastic,2013-08-27T13:06:30Z
13,AhFcea-N5Ik,25871,228,23,40,2013-08-27T15:28:39Z,J.K. Rowling on Harry Potter Anniversary: Dumbledore Is the Character &#39;I Miss the Most&#39;,ABC News,2013-08-27T15:28:39Z
14,lSM75Mj0PQQ,1664851,20001,5878,21419,2013-09-05T20:37:52Z,Harry Potter Vs The Lord of the Rings,WatchMojo.com,2013-09-05T20:37:52Z
15,kKLA4cw1iZ0,90758,961,35,254,2013-09-12T17:40:25Z,New &#39;Harry Potter&#39; Inspired Film Series Coming From J.K. Rowling,Fandom Entertainment,2013-09-12T17:40:25Z
16,k2WPy_LunUY,1923,23,1,2,2013-09-13T18:09:36Z,J.K. Rowling&#39;s Magical Screenplay for &#39;Fantastic Beasts and Where to Find Them&#39; Movie,ABC News,2013-09-13T18:09:36Z
17,sifcNrZcvX8,142,1,0,2,2013-09-22T08:23:47Z,What The Book! - Harry Potter And The Philosopher&#39;s Stone by Jk Rowling,julesreads,2013-09-22T08:23:47Z
18,gHWQ0mzc0so,475,6,1,2,2013-09-22T17:48:44Z,"BOOK REVIEW,BARRY TROTTER AND THE DEAD HORSE,JK ROWLING HARRY POTTER PARODY",C J Campbell,2013-09-22T17:48:44Z
19,7BdVHWz1DPU,8393154,158068,1704,10722,2013-09-22T21:30:41Z,A Conversation between JK Rowling and Daniel Radcliffe,HarryPotterAdmirer,2013-09-22T21:30:41Z
20,SPpxpscNsWE,1465352,7876,5065,3310,2013-09-30T19:20:25Z,Harry Potter&#39;s Dirty Secret - Conspiracy Cinema,CineFix,2013-09-30T19:20:25Z
21,3PuTyYVQaGw,11962,176,6,63,2013-10-07T19:19:03Z,HOW TO GET SIGNED JK ROWLING BOOKS,thehpalliance,2013-10-07T19:19:03Z
22,4W_BjQefaoc,1122,11,1,2,2013-10-08T02:19:58Z,J K Rowling&#39;s Harry Potter Companion Books Review-- Bloomsbury,Passionate Ink-Slinger,2013-10-08T02:19:58Z
23,pGqQdcyDYg8,21062,444,10,142,2013-10-10T20:13:48Z,Daniel Radcliffe Talks HARRY POTTER Spinoff,Fandom Entertainment,2013-10-10T20:13:48Z
24,1JWDtc-c2II,52721,386,7,8,2013-10-14T16:30:00Z,J.K. Rowling Explores Her French Roots | Who Do You Think You Are,Who Do You Think You Are?,2013-10-14T16:30:00Z
