,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,mHknM8STUIw,19684,153,10,3,2012-01-12T11:21:59.000Z,Harry Potter 3D und die Heiligtümer des Todes (Teil 2) - Trailer deutsch HD - Kinotrailer 2011,trailerpara
1,BPIzWBks5dk,17390,212,6,53,2012-01-15T00:23:32.000Z,The Avengers Trailer - Harry Potter Style,Rubyblue0910
2,PV6w2VUxDQU,974,3,0,1,2012-02-27T07:28:46.000Z,Harry Potter and the Sorcerer&#39;s Stone | Trailer [HD],discover7films
3,0gugBiEkLwU,14771554,120267,2954,11955,2012-03-22T17:55:53.000Z,Honest Trailers - Twilight,Screen Junkies
4,6x3lglpjG54,253353,5072,113,259,2012-03-29T19:29:15.000Z,Harry Potter and the Deathly Hallows part 2 trailer at Trafalgar Square,theoutolintunen
5,pK7cqEND_AE,70884,261,86,86,2012-04-06T20:43:47.000Z,Albus Severus Potter Movie Trailer,Emily Green
6,B7W_55Vc8bY,5193,23,6,6,2012-04-09T22:08:07.000Z,LEGO Batman vs Harry Potter Trailer,Ultimate. Org Productions
7,R69laoH02xg,,1632,129,68,2012-04-11T19:33:30.000Z,Harry Potter and the Prisoner of Azkaban - Trailer,YouTube Movies
8,uU-ET1FAv3Y,,2819,428,81,2012-04-11T21:05:48.000Z,Harry Potter and the Chamber of Secrets - Trailer,Warner Movies On Demand
9,PFWAOnvMd1Q,1276306,4305,174,234,2012-04-11T22:04:55.000Z,Harry Potter and the Goblet of Fire - Trailer,Warner Movies On Demand
10,PbdM1db3JbY,,6402,480,301,2012-04-12T06:53:53.000Z,Harry Potter and the Sorcerer&#39;s Stone - Trailer,Warner Movies On Demand
11,x5Lt1zdlkeA,23883,941,3,79,2012-04-19T16:48:41.000Z,The Dark Forces || HARRY POTTER || Alternative Trailer,Sapphiamur
12,RQx-Pj20T8E,9784,129,2,24,2012-04-30T19:45:18.000Z,Harry Potter Movie Trailer Parody (Harry/Hermione with Titanic),nicolex0o
13,H6mnl22Aq4c,1989944,39337,1958,3430,2012-05-20T19:14:39.000Z,Deleted Scenes From Harry Potter (Parody),PistolShrimps
14,DZf3r3PyCFw,7875,41,4,15,2012-05-25T15:51:44.000Z,HARRY POTTER FOR KINECT Announcement Trailer,CGRtrailers
15,ddpTSCcA81U,2831991,2656,223,1422,2012-05-31T10:20:48.000Z,Harry Potter and The Deathly Hallows Official Trailer,DrippingInsanity
16,sWIpT-ynqXk,182655,1132,95,30,2012-06-02T18:00:43.000Z,Seamus Finnigan - Alle Szenen Teil 3 (Gefangene von Askaban) German/Deutsch,Yami Hinotori
17,sHSRulQXYJA,19563,,,14,2012-06-07T03:35:44.000Z,Harry Potter 9 Movie Trailer,RedVampire120652
18,_tnAduYVl10,10789,23,2,5,2012-06-19T12:12:09.000Z,Harry Potter Kinect for Xbox 360 Trailer,WarnerBrosIndia
19,s5YBXybRKlc,22070,157,6,14,2012-06-30T02:43:28.000Z,Harry Potter 1-8 Trailer (1080p),RandomStarWars7777
20,WqvVocPHQW0,16315,90,7,2,2012-07-05T20:14:15.000Z,Harry Potter a Relikvie smrti - část 1 (česky dabovaný trailer),stupefyblog
21,0XJZVjw1Dv0,15776,82,4,1,2012-07-07T14:34:59.000Z,Harry Potter a Relikvie smrti - část 2 (český neoficiální trailer),stupefyblog
22,XCDniLYECxM,3146,9,7,5,2012-07-25T19:18:31.000Z,Harry Potter Online RPG GAME - trailer 2 official,Tomáš Kabourek
23,SEHVAD5y2Pg,2106,6,0,2,2012-07-30T20:27:06.000Z,Harry Potter and the Sorcerer&#39;s stone - Trailer [HQ],YourTrailerInHD
24,Hx1YqrO_v9U,49776,157,8,20,2012-07-31T19:27:00.000Z,Harry Potter and the Goblet of Fire - Trailer [HD],YourTrailerInHD
25,63KfQ88rtiI,404460,579,12,63,2012-07-31T19:34:28.000Z,Harry Potter and The Order of the Phoenix - Trailer (HD),YourTrailerInHD
26,IyRifmwn-RM,17436,26,4,5,2012-08-11T12:00:35.000Z,Harry Potter and the Chamber of Secrets - Teaser Trailer (2002) | HD 1080p,KiNoLoGoIntroRelease
27,hE9-JiOmvfg,57,0,0,0,2012-08-15T09:51:33.000Z,Harry Potter And The Half Blood Prince - Official Trailer - HD,oldandnewtrailers
28,_hp_xsUg9ws,15181748,127202,5055,18568,2012-08-17T07:08:34.000Z,Honest Trailers - The Hunger Games,Screen Junkies
29,wb9bFUm_yOw,23628,91,4,0,2012-08-21T18:22:44.000Z,Harry Potter a Ohnivý pohár (Trailer),Bengoro Beng
30,hcwZRNL6-xY,41085,246,10,4,2012-08-21T18:37:43.000Z,Harry Potter a Fénixův řád (Trailer),Bengoro Beng
31,yCya17hogmA,82185,3192,27,305,2012-08-26T16:01:00.000Z,Doctor Who: Harry Potter Crossover Trailer,Maxim Tsukanov
32,fRkBWFNFZkw,11463,104,5,2,2012-09-02T01:41:49.000Z,Official Trailers - Harry Potter Movie Series,Zbolt2
33,XO9rqIgzDL0,222351,1153,23,42,2012-09-04T12:12:53.000Z,Harry Potter et la Coupe de Feu - Bande Annonce Officielle (VF) - Daniel Radcliffe / Emma Watson,Warner Bros. France
