,id,viewCount,commentCount,likeCount,dislikeCount,publishedAt,title,channelTitle
0,sHSRulQXYJA,19563,14,,,2012-06-07T03:35:44.000Z,Harry Potter 9 Movie Trailer,RedVampire120652
1,_tnAduYVl10,10789,5,23,2,2012-06-19T12:12:09.000Z,Harry Potter Kinect for Xbox 360 Trailer,WarnerBrosIndia
2,s5YBXybRKlc,22070,14,157,6,2012-06-30T02:43:28.000Z,Harry Potter 1-8 Trailer (1080p),RandomStarWars7777
3,WqvVocPHQW0,16315,2,90,7,2012-07-05T20:14:15.000Z,Harry Potter a Relikvie smrti - část 1 (česky dabovaný trailer),stupefyblog
4,0XJZVjw1Dv0,15776,1,82,4,2012-07-07T14:34:59.000Z,Harry Potter a Relikvie smrti - část 2 (český neoficiální trailer),stupefyblog
5,XCDniLYECxM,3146,5,9,7,2012-07-25T19:18:31.000Z,Harry Potter Online RPG GAME - trailer 2 official,Tomáš Kabourek
6,SEHVAD5y2Pg,2106,2,6,0,2012-07-30T20:27:06.000Z,Harry Potter and the Sorcerer&#39;s stone - Trailer [HQ],YourTrailerInHD
7,Hx1YqrO_v9U,49776,20,157,8,2012-07-31T19:27:00.000Z,Harry Potter and the Goblet of Fire - Trailer [HD],YourTrailerInHD
8,63KfQ88rtiI,404460,63,579,12,2012-07-31T19:34:28.000Z,Harry Potter and The Order of the Phoenix - Trailer (HD),YourTrailerInHD
9,IyRifmwn-RM,17436,5,26,4,2012-08-11T12:00:35.000Z,Harry Potter and the Chamber of Secrets - Teaser Trailer (2002) | HD 1080p,KiNoLoGoIntroRelease
10,cgc1ZttE-M4,101,0,1,0,2012-08-14T18:36:59.000Z,Harry Potter And The Chamber Of The Secrets - Official Trailer - HD,oldandnewtrailers
11,DJAr431LWHs,336,2,2,0,2012-08-15T09:26:08.000Z,Harry Potter And The Goblet Of Fire - Official Trailer - HD,oldandnewtrailers
12,_hp_xsUg9ws,15181748,18568,127202,5055,2012-08-17T07:08:34.000Z,Honest Trailers - The Hunger Games,Screen Junkies
13,hcwZRNL6-xY,41085,4,246,10,2012-08-21T18:37:43.000Z,Harry Potter a Fénixův řád (Trailer),Bengoro Beng
14,fRkBWFNFZkw,11463,2,104,5,2012-09-02T01:41:49.000Z,Official Trailers - Harry Potter Movie Series,Zbolt2
15,XO9rqIgzDL0,222351,42,1153,23,2012-09-04T12:12:53.000Z,Harry Potter et la Coupe de Feu - Bande Annonce Officielle (VF) - Daniel Radcliffe / Emma Watson,Warner Bros. France
16,Kihj8mdhaxI,28208,9,77,6,2012-09-05T21:29:49.000Z,Harry Potter 8 movies Super Trailer,EriCKson Dlc
17,AmiyyVyxU3M,3824,7,28,1,2012-09-22T23:53:27.000Z,Harry Potter and The Prisoner of Azkaban - Official Trailer,LeagueOfLeqends
18,Ryt8aBKe5yU,4541,1,9,0,2012-10-02T23:36:49.000Z,Harry Potter &amp; The Prisoner of Azkaban - Trailer 2,Brand X Music
19,gC5Jq1Zt9hs,3698,3,13,0,2012-10-02T23:36:50.000Z,Harry Potter &amp; The Prisoner of Azkaban - Trailer 1,Brand X Music
20,gKhqilf32Sk,16214,3,71,1,2012-10-02T23:36:50.000Z,Harry Potter &amp; The Prisoner of Azkaban - Trailer 3,Brand X Music
21,a0Dl-UQYeRw,509517,66,312,26,2012-10-09T12:03:38.000Z,Harry Potter Kinect Trailer,WB Games
22,kLRUpT8kW8E,30821,348,240,586,2012-10-09T19:16:22.000Z,Harry Potter for Kinect Launch Trailer,IGN
23,0W3NMH0Srho,3949,4,10,0,2012-10-11T14:14:09.000Z,Harry Potter für Kinect - Launch Trailer,Warner Bros. DE
24,Mr3c_truVMw,3687,7,31,17,2012-10-14T21:55:46.000Z,Harry Potter für Kinect | Offizieller Launch Trailer [DE] (2012) | HD,XboxViewTV
25,bZezS6XM1t4,17870,6,54,15,2012-11-02T02:27:34.000Z,Harry Potter and the Sorcerer&#39;s Stone Book Trailer,MorgansLife1999
26,7tM_TDN3ePk,395,0,4,0,2012-11-02T16:55:45.000Z,Harry Potter and the Deathly Hallows: Official Trailer # 1 [HD][Viki Trailers],VikiTrailers
27,qlzYrBC-6CE,3727333,,24937,486,2012-11-19T21:16:24.000Z,Making of &quot;Deathly Hallows -  Part 2&quot;: Neville&#39;s Stand,allpotter323
28,AOIi9SjJvgU,14521128,19826,124896,4781,2012-12-11T15:20:37.000Z,Honest Trailers - The Lord of the Rings,Screen Junkies
29,B8QMNM8uE2A,3861,0,9,2,2012-12-23T20:23:02.000Z,&quot;Harry Potter and the Chamber of Secrets&quot; Trailer,NetflixOficial
30,tQbCLIDm4Hk,21906,45,432,11,2013-01-06T14:49:25.000Z,Harry Potter || Series Trailer [Tribute] (Fan Made),TheRedSoxFan18
31,YVk0aWlF9Ec,57240,24,332,11,2013-01-09T16:10:09.000Z,Harry Potter and the Goblet of Fire - Trailer (HD),DutchHPfan1992
32,9rleGD8gGd4,11079663,17581,87251,5232,2013-02-05T16:34:26.000Z,Everything Wrong With Harry Potter &amp; The Sorcerer&#39;s Stone In 3 Minutes Or Less,CinemaSins
33,fkq4nzrrOXs,4371,2,12,1,2013-02-12T15:33:12.000Z,Harry Potter and the Philosophers Stone Trailer HD,CONOCEHP
34,aLyqoLRy608,3144,0,11,1,2013-02-12T17:38:27.000Z,Harry Potter and the Chamber of Secrets Trailer English HD,CONOCEHP
35,EmXeghV0mN0,249574,20,282,7,2013-02-15T04:21:32.000Z,Harry Potter and the Goblet of Fire Trailer English HD,CONOCEHP
36,zkjDFsdvQ6c,6014,8,114,1,2013-02-28T21:30:05.000Z,Harry Potter and the Deathly Hallows Part 2 Teaser Trailer [Fan Made] HD,Jackardy
37,2pc-0PRcSR4,658986,698,4011,308,2013-03-18T16:00:25.000Z,Pottermore Official Trailer (Harry Potter Game),GameNews
38,Hp-ydBT7dJs,200173,106,1086,25,2013-03-22T12:10:59.000Z,Harry Potter and the Deathly Hallows Trailers,Alex Todd
39,EvH_jnqSqKI,6333,6,60,0,2013-03-29T02:16:54.000Z,Harry Potter and the Prisoner of Azkaban (Teaser Trailer #1 - 2004),EgemenUregen
40,rmzyZcbLwvQ,853,0,0,0,2013-04-03T19:34:53.000Z,Harry Potter and the Sorcerers Stone - Trailer #2,TheTrailerArchives
41,kL1aqfnIr2Y,18998061,24242,197153,3945,2013-04-16T17:02:38.000Z,Honest Trailers - Harry Potter,Screen Junkies
42,XFJp9Ux02NQ,51976,3,97,13,2013-04-30T08:52:11.000Z,Harry Potter Og De Vises Sten Trailer,Venze8
43,6j49AJklk9A,258941,,,,2013-05-21T03:25:31.000Z,Harry Potter and the Deathly Hallows - Part 1 - Trailer,YouTube Movies
44,JmkiMxq2Vyo,260260,,,,2013-05-21T03:34:10.000Z,Harry Potter and the Half-Blood Prince - Trailer,YouTube Movies
45,d7i9oQm6q4k,315900,,,,2013-05-21T03:56:34.000Z,Harry Potter and the Prisoner of Azkaban - Trailer,YouTube Movies
46,XBi-RfjbmQQ,1487,1,2,0,2013-06-09T08:37:22.000Z,Harry Potter - Trailer Music Compilation 2013,Mikle Shelmez
47,E9alT_nulIM,191254,51,495,26,2013-06-12T17:16:46.000Z,Harry Potter and the Order of the Phoenix HD Trailer,CONOCEHP
48,NEZp1i9U_z8,3567,1,14,1,2013-06-12T18:52:04.000Z,Harry Potter and the Half Blood Prince Trailer HD English,CONOCEHP
49,ziESsev6_Wg,213826,195,3070,56,2013-06-21T19:55:52.000Z,La Saga Harry Potter-Trailer Completi ita,Vegetto1624
