,index,date,total_cases,stock
0,2634,2020-01-28,1,13245.240234375
1,2635,2020-01-29,4,13333.6650390625
2,2636,2020-01-30,4,13190.57470703125
3,2637,2020-01-31,5,13091.0849609375
4,2638,2020-02-01,7,
5,2639,2020-02-02,8,
6,2640,2020-02-03,9,13032.55029296875
7,2641,2020-02-04,11,13206.85009765625
8,2642,2020-02-05,11,13355.85986328125
9,2643,2020-02-06,11,13570.31494140625
10,2644,2020-02-07,12,13507.50537109375
11,2645,2020-02-08,13,
12,2646,2020-02-09,13,
13,2647,2020-02-10,13,13473.5751953125
14,2648,2020-02-11,13,13613.19482421875
15,2649,2020-02-12,15,13708.42529296875
16,2650,2020-02-13,15,13661.19482421875
17,2651,2020-02-14,15,13758.31494140625
18,2652,2020-02-15,15,
19,2653,2020-02-16,15,
20,2654,2020-02-17,15,13774.64013671875
21,2655,2020-02-18,15,13695.919921875
22,2656,2020-02-19,15,13749.89013671875
23,2657,2020-02-20,15,13726.205078125
24,2658,2020-02-21,15,13594.865234375
25,2659,2020-02-22,15,
26,2660,2020-02-23,15,
27,2661,2020-02-24,15,13109.35986328125
28,2662,2020-02-25,15,12955.35009765625
29,2663,2020-02-26,17,12608.60986328125
30,2664,2020-02-27,21,12402.625
31,2665,2020-02-28,47,11866.35498046875
32,2666,2020-02-29,57,
33,2667,2020-03-01,111,
34,2668,2020-03-02,129,11873.11474609375
35,2669,2020-03-03,157,12089.9052734375
36,2670,2020-03-04,196,12064.5302734375
37,2671,2020-03-05,262,12026.32470703125
38,2672,2020-03-06,400,11608.52490234375
39,2673,2020-03-07,684,
40,2674,2020-03-08,847,
41,2675,2020-03-09,902,10775.9296875
42,2676,2020-03-10,1139,10728.09521484375
43,2677,2020-03-11,1296,10575.9697265625
44,2678,2020-03-12,1567,9535.83984375
45,2679,2020-03-13,2369,9525.2099609375
46,2680,2020-03-14,3062,
47,2681,2020-03-15,3795,
48,2682,2020-03-16,4838,8611.38037109375
49,2683,2020-03-17,6012,8784.74462890625
50,2684,2020-03-18,7156,8535.294921875
51,2685,2020-03-19,8198,8463.00537109375
52,2686,2020-03-20,14138,9019.68505859375
53,2687,2020-03-21,18187,
54,2688,2020-03-22,21463,
55,2689,2020-03-23,24774,8775.7099609375
56,2690,2020-03-24,29212,9401.3701171875
57,2691,2020-03-25,31554,9799.26513671875
58,2692,2020-03-26,36508,9763.56494140625
59,2693,2020-03-27,42288,9714.0048828125
60,2694,2020-03-28,48582,
61,2695,2020-03-29,52547,
62,2696,2020-03-30,57298,9635.64990234375
63,2697,2020-03-31,61913,9900.14990234375
64,2698,2020-04-01,67366,9592.2548828125
65,2699,2020-04-02,73522,9493.64453125
66,2700,2020-04-03,79696,9548.4599609375
67,2701,2020-04-04,85778,
68,2702,2020-04-05,91714,
69,2703,2020-04-06,95391,9969.39990234375
70,2704,2020-04-07,99225,10407.71484375
71,2705,2020-04-08,103228,10269.5048828125
72,2706,2020-04-09,108202,10480.7451171875
73,2707,2020-04-10,113525,
74,2708,2020-04-11,117658,
75,2709,2020-04-12,120479,
76,2710,2020-04-13,123016,
77,2711,2020-04-14,125098,10739.56494140625
78,2712,2020-04-15,127584,10460.650390625
79,2713,2020-04-16,130450,10337.30517578125
80,2714,2020-04-17,133830,10649.7451171875
