,index,date,total_cases,stock
0,10915,2020-01-21,1,29243.8408203125
1,10916,2020-01-22,1,29246.2294921875
2,10917,2020-01-23,1,29078.7255859375
3,10918,2020-01-24,1,29066.0498046875
4,10919,2020-01-25,2,
5,10920,2020-01-26,2,
6,10921,2020-01-27,5,28556.1298828125
7,10922,2020-01-28,5,28699.490234375
8,10923,2020-01-29,5,28836.21484375
9,10924,2020-01-30,5,28684.7353515625
10,10925,2020-01-31,6,28491.2841796875
11,10926,2020-02-01,7,
12,10927,2020-02-02,8,
13,10928,2020-02-03,11,28475.0205078125
14,10929,2020-02-04,11,28800.810546875
15,10930,2020-02-05,11,29154.8701171875
16,10931,2020-02-06,12,29327.490234375
17,10932,2020-02-07,12,29171.9501953125
18,10933,2020-02-08,12,
19,10934,2020-02-09,12,
20,10935,2020-02-10,12,29136.865234375
21,10936,2020-02-11,13,29312.9306640625
22,10937,2020-02-12,13,29487.66015625
23,10938,2020-02-13,14,29440.6650390625
24,10939,2020-02-14,15,29373.109375
25,10940,2020-02-15,15,
26,10941,2020-02-16,15,
27,10942,2020-02-17,15,
28,10943,2020-02-18,15,29223.4853515625
29,10944,2020-02-19,15,29341.7353515625
30,10945,2020-02-20,15,29164.0498046875
31,10946,2020-02-21,16,29019.6142578125
32,10947,2020-02-22,35,
33,10948,2020-02-23,35,
34,10949,2020-02-24,35,28157.6845703125
35,10950,2020-02-25,53,27573.4091796875
36,10951,2020-02-26,53,27216.875
37,10952,2020-02-27,59,26264.0654296875
38,10953,2020-02-28,60,25087.625
39,10954,2020-02-29,66,
40,10955,2020-03-01,69,
41,10956,2020-03-02,89,26049.0654296875
42,10957,2020-03-03,103,26395.4345703125
43,10958,2020-03-04,125,26694.3251953125
44,10959,2020-03-05,159,26307.625
45,10960,2020-03-06,233,25610.5
46,10961,2020-03-07,338,
47,10962,2020-03-08,433,
48,10963,2020-03-09,554,24349.21484375
49,10964,2020-03-10,754,24355.6650390625
50,10965,2020-03-11,1025,23966.4755859375
51,10966,2020-03-12,1312,21996.205078125
52,10967,2020-03-13,1663,22237.564453125
53,10968,2020-03-14,2174,
54,10969,2020-03-15,2951,
55,10970,2020-03-16,3774,20942.3701171875
56,10971,2020-03-17,4661,20630.8046875
57,10972,2020-03-18,6427,19703.3955078125
58,10973,2020-03-19,9415,19809.880859375
59,10974,2020-03-20,14250,19812.7646484375
60,10975,2020-03-21,19624,
61,10976,2020-03-22,26747,
62,10977,2020-03-23,35206,18667.330078125
63,10978,2020-03-24,46442,20193.474609375
64,10979,2020-03-25,55231,21279.134765625
65,10980,2020-03-26,69194,22011.080078125
66,10981,2020-03-27,85991,21898.419921875
67,10982,2020-03-28,104686,
68,10983,2020-03-29,124665,
69,10984,2020-03-30,143025,21950.0849609375
70,10985,2020-03-31,164620,22166.224609375
71,10986,2020-04-01,189618,21135.8349609375
72,10987,2020-04-02,216721,21106.39453125
73,10988,2020-04-03,245540,21155.4501953125
74,10989,2020-04-04,277965,
75,10990,2020-04-05,312237,
76,10991,2020-04-06,337635,22238.5400390625
77,10992,2020-04-07,368196,23125.8447265625
78,10993,2020-04-08,398809,23098.1953125
79,10994,2020-04-09,432132,23756.5400390625
80,10995,2020-04-10,466033,
81,10996,2020-04-11,501560,
82,10997,2020-04-12,529951,
83,10998,2020-04-13,557571,23397.1396484375
84,10999,2020-04-14,582594,23862.009765625
85,11000,2020-04-15,609516,23441.5205078125
86,11001,2020-04-16,639664,23404.73046875
87,11002,2020-04-17,671331,24040.6806640625
