,date,future,subgroup,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo
0,2017-01-23,False,Adults,45.0,51.1347,38.8653,45.0,51.1347,38.8653
1,2017-01-23,False,All polls,45.46693,50.88971,40.04416,41.26452,46.68729,35.84175
2,2017-01-23,False,Voters,46.0,52.29238,39.70762,37.0,43.29238,30.70762
3,2017-01-24,False,Adults,45.0,50.98562,39.01438,45.74659,51.73221,39.76097
4,2017-01-24,False,All polls,45.44264,50.82922,40.05606,41.87849,47.26508,36.49191
5,2017-01-24,False,Voters,46.0,52.29238,39.70762,37.0,43.29238,30.70762
6,2017-01-25,False,Adults,45.59516,51.48944,39.70088,45.19996,51.09425,39.30568
7,2017-01-25,False,All polls,47.76497,52.66397,42.86596,42.52911,47.42811,37.63011
8,2017-01-25,False,Voters,48.61617,53.80425,43.42808,41.35324,46.54132,36.16516
9,2017-01-26,False,Adults,43.21775,48.34188,38.09363,39.85699,44.98112,34.73286
10,2017-01-26,False,All polls,44.37598,48.93261,39.81936,41.06081,45.61743,36.50418
11,2017-01-26,False,Voters,44.62692,49.31432,39.93952,41.1728,45.8602,36.4854
12,2017-01-27,False,Adults,43.08089,48.21475,37.94702,40.57829,45.71215,35.44442
13,2017-01-27,False,All polls,44.13586,48.70494,39.56679,41.67268,46.24175,37.1036
14,2017-01-27,False,Voters,44.38777,49.09824,39.6773,41.58635,46.29682,36.87588
15,2017-01-28,False,Adults,42.51997,47.66774,37.37219,41.19157,46.33934,36.04379
16,2017-01-28,False,All polls,43.87527,48.46821,39.28233,41.91362,46.50656,37.32067
17,2017-01-28,False,Voters,44.38777,49.09824,39.6773,41.58635,46.29682,36.87588
18,2017-01-29,False,Adults,42.42076,47.58598,37.25555,41.6069,46.77211,36.44168
19,2017-01-29,False,All polls,44.14589,48.72661,39.56517,42.2247,46.80542,37.64399
20,2017-01-29,False,Voters,44.74559,49.4796,40.01159,41.74476,46.47876,37.01076
21,2017-01-30,False,Adults,42.51344,47.69931,37.32757,41.65466,46.84053,36.46879
22,2017-01-30,False,All polls,44.09903,48.69541,39.50266,42.45613,47.05251,37.85976
23,2017-01-30,False,Voters,44.67257,49.38835,39.95678,42.0221,46.73788,37.30631
24,2017-01-31,False,Adults,43.67982,48.68051,38.67913,43.60509,48.60578,38.6044
25,2017-01-31,False,All polls,44.34048,48.89616,39.78481,43.45351,48.00919,38.89784
26,2017-01-31,False,Voters,45.01149,49.6689,40.35407,43.20672,47.86413,38.5493
27,2017-02-01,False,Adults,43.7891,48.70733,38.87086,44.59832,49.51656,39.68008
28,2017-02-01,False,All polls,44.79341,49.32774,40.25908,44.69287,49.2272,40.15854
29,2017-02-01,False,Voters,45.86395,50.5223,41.2056,44.44283,49.10118,39.78447
30,2017-02-02,False,Adults,43.76831,48.71731,38.81931,45.22588,50.17488,40.27688
31,2017-02-02,False,All polls,44.81124,49.33113,40.29136,44.79839,49.31827,40.27851
32,2017-02-02,False,Voters,45.88868,50.53785,41.23951,44.48,49.12917,39.83083
33,2017-02-03,False,Adults,42.87061,47.47776,38.26346,48.63497,53.24212,44.02782
34,2017-02-03,False,All polls,44.21341,48.61607,39.81074,47.06427,51.46694,42.66161
35,2017-02-03,False,Voters,46.21463,50.90343,41.52583,44.72782,49.41662,40.03902
36,2017-02-04,False,Adults,42.93061,47.52776,38.33346,48.55542,53.15257,43.95826
37,2017-02-04,False,All polls,44.23746,48.63475,39.84016,47.03533,51.43262,42.63803
38,2017-02-04,False,Voters,46.21463,50.90343,41.52583,44.72782,49.41662,40.03902
39,2017-02-05,False,Adults,42.7303,47.35865,38.10196,49.04629,53.67463,44.41794
40,2017-02-05,False,All polls,44.43742,48.81641,40.05843,47.4848,51.86378,43.10581
41,2017-02-05,False,Voters,46.77325,51.44566,42.10085,45.41658,50.08898,40.74417
42,2017-02-06,False,Adults,42.62589,47.259,37.99279,49.48686,54.11996,44.85376
43,2017-02-06,False,All polls,44.42256,48.81194,40.03319,48.03367,52.42305,43.6443
44,2017-02-06,False,Voters,46.66296,51.29055,42.03538,45.71693,50.34452,41.08935
45,2017-02-07,False,Adults,42.58524,47.25029,37.92019,49.79887,54.46392,45.13382
46,2017-02-07,False,All polls,44.65995,49.03472,40.28518,48.71205,53.08682,44.33728
47,2017-02-07,False,Voters,46.92523,51.52148,42.32898,47.53691,52.13317,42.94066
48,2017-02-08,False,Adults,42.46727,47.10171,37.83284,49.95639,54.59083,45.32195
49,2017-02-08,False,All polls,44.50491,48.843,40.16682,48.8634,53.20149,44.52531
50,2017-02-08,False,Voters,46.69795,51.23309,42.16281,47.94511,52.48025,43.40998
51,2017-02-09,False,Adults,42.45341,47.12389,37.78294,50.05256,54.72303,45.38208
52,2017-02-09,False,All polls,44.34582,48.72214,39.96951,49.3256,53.70191,44.94928
53,2017-02-09,False,Voters,46.23419,50.80249,41.66589,48.68385,53.25216,44.11555
54,2017-02-10,False,Adults,42.33272,47.04307,37.62237,50.14452,54.85487,45.43417
55,2017-02-10,False,All polls,44.28156,48.64907,39.91405,49.35836,53.72587,44.99086
56,2017-02-10,False,Voters,46.21808,50.77919,41.65697,48.71865,53.27976,44.15754
57,2017-02-11,False,Adults,42.17884,46.93204,37.42564,50.29835,55.05155,45.54515
58,2017-02-11,False,All polls,44.42348,48.84508,40.00189,49.29364,53.71523,44.87204
59,2017-02-11,False,Voters,46.31055,50.92749,41.69361,48.61903,53.23597,44.00209
60,2017-02-12,False,Adults,41.98624,46.78743,37.18506,50.62114,55.42233,45.81996
61,2017-02-12,False,All polls,44.30565,48.72142,39.88988,49.4447,53.86047,45.02893
62,2017-02-12,False,Voters,46.31055,50.92749,41.69361,48.61903,53.23597,44.00209
63,2017-02-13,False,Adults,41.11952,45.75837,36.48067,52.40815,57.20925,47.60704
64,2017-02-13,False,All polls,43.46242,47.85374,39.07109,50.64742,55.09876,46.19608
65,2017-02-13,False,Voters,45.41359,49.90409,40.92309,49.86423,54.35473,45.37373
66,2017-02-14,False,Adults,41.01787,45.69108,36.34466,52.47426,57.35436,47.59416
67,2017-02-14,False,All polls,44.47177,49.01568,39.92786,50.36843,55.0418,45.69505
68,2017-02-14,False,Voters,46.16746,50.76975,41.56517,49.73203,54.36329,45.10077
69,2017-02-15,False,Adults,41.3626,45.92407,36.80114,52.01312,57.00552,47.02072
70,2017-02-15,False,All polls,44.49281,49.07682,39.90881,50.23329,54.94403,45.52256
71,2017-02-15,False,Voters,46.32353,50.96176,41.6853,49.7077,54.38807,45.02732
72,2017-02-16,False,Adults,41.26061,45.85092,36.6703,52.20712,57.25517,47.15907
73,2017-02-16,False,All polls,44.57693,49.23923,39.91463,50.21927,54.96953,45.46901
74,2017-02-16,False,Voters,46.53775,51.25437,41.82114,49.53732,54.24575,44.82889
75,2017-02-17,False,Adults,40.93276,45.58841,36.27711,52.55815,57.6859,47.4304
76,2017-02-17,False,All polls,44.46416,49.21023,39.7181,50.34889,55.15873,45.53905
77,2017-02-17,False,Voters,46.66242,51.43516,41.88968,49.45398,54.19453,44.71342
78,2017-02-18,False,Adults,41.14259,45.75518,36.52999,52.61021,57.82709,47.39334
79,2017-02-18,False,All polls,44.31153,49.03962,39.58345,50.62162,55.49161,45.75164
80,2017-02-18,False,Voters,46.48179,51.23529,41.72828,49.83215,54.65438,45.00993
81,2017-02-19,False,Adults,41.1262,45.72119,36.53122,52.34517,57.59246,47.09787
82,2017-02-19,False,All polls,44.10547,48.89841,39.31253,50.62915,55.54121,45.7171
83,2017-02-19,False,Voters,46.48179,51.23529,41.72828,49.83215,54.65438,45.00993
84,2017-02-20,False,Adults,41.1068,45.60037,36.61324,52.24264,57.46707,47.01821
85,2017-02-20,False,All polls,43.83627,48.59529,39.07725,50.03596,54.89173,45.18018
86,2017-02-20,False,Voters,45.56286,50.41407,40.71165,49.19039,53.98789,44.39288
87,2017-02-21,False,Adults,41.4049,45.76923,37.04057,51.92768,57.05551,46.79984
88,2017-02-21,False,All polls,43.66503,48.39862,38.93143,50.16118,54.99011,45.33226
89,2017-02-21,False,Voters,45.53262,50.36337,40.70187,49.28985,54.07336,44.50635
90,2017-02-22,False,Adults,40.99014,45.27751,36.70276,51.52739,56.48182,46.57297
91,2017-02-22,False,All polls,42.54541,47.43392,37.6569,50.79599,55.63756,45.95441
92,2017-02-22,False,Voters,44.294,49.44938,39.13863,50.37005,55.35322,45.38689
93,2017-02-23,False,Adults,42.08851,46.23182,37.94521,50.09972,54.93006,45.26939
94,2017-02-23,False,All polls,43.00062,47.7711,38.23013,49.79304,54.51702,45.06906
95,2017-02-23,False,Voters,44.84227,49.9486,39.73595,49.52387,54.37848,44.66925
96,2017-02-24,False,Adults,42.13914,46.28004,37.99824,50.20037,55.015,45.38575
97,2017-02-24,False,All polls,43.10133,47.88879,38.31387,49.82072,54.53353,45.10792
98,2017-02-24,False,Voters,44.86759,49.97301,39.76218,49.60043,54.46981,44.73105
99,2017-02-25,False,Adults,41.93456,46.09764,37.77147,50.34444,55.17621,45.51268
100,2017-02-25,False,All polls,42.99247,47.80976,38.17517,49.87163,54.60665,45.1366
101,2017-02-25,False,Voters,44.86759,49.97301,39.76218,49.60043,54.46981,44.73105
102,2017-02-26,False,Adults,41.86868,46.0538,37.68355,50.54937,55.40913,45.68962
103,2017-02-26,False,All polls,42.94234,47.78183,38.10285,49.97172,54.73501,45.20843
104,2017-02-26,False,Voters,44.86759,49.97301,39.76218,49.60043,54.46981,44.73105
105,2017-02-27,False,Adults,41.93449,46.13142,37.73755,50.65856,55.54948,45.76763
106,2017-02-27,False,All polls,42.97042,47.81451,38.12633,50.10254,54.87105,45.33402
107,2017-02-27,False,Voters,44.77391,49.93987,39.60795,49.68867,54.59674,44.78059
108,2017-02-28,False,Adults,41.92185,46.14059,37.7031,50.75521,55.67918,45.83124
109,2017-02-28,False,All polls,42.93886,47.79404,38.08368,50.21992,55.00761,45.43224
110,2017-02-28,False,Voters,44.69143,49.87772,39.50513,49.79915,54.73494,44.86337
111,2017-03-01,False,Adults,42.93229,47.20044,38.66414,50.10905,54.72215,45.49596
112,2017-03-01,False,All polls,43.75505,48.47799,39.03212,49.75748,54.34694,45.16802
113,2017-03-01,False,Voters,45.15903,50.19463,40.12343,49.53156,54.37161,44.69152
114,2017-03-02,False,Adults,42.74433,46.98483,38.50384,50.39036,54.90135,45.87937
115,2017-03-02,False,All polls,43.71027,48.49278,38.92776,49.87239,54.40887,45.33591
116,2017-03-02,False,Voters,45.23322,50.25408,40.21236,49.77825,54.56505,44.99146
117,2017-03-03,False,Adults,42.9674,47.17238,38.76241,50.43211,54.88548,45.97874
118,2017-03-03,False,All polls,43.90226,48.6751,39.12943,49.85654,54.37281,45.34027
119,2017-03-03,False,Voters,45.63852,50.65363,40.62341,49.62764,54.40191,44.85337
