;index;Month;Low;High;High_date;Low_date;high_tweet_links;low_tweet_links
0;84;2017-01;19677,939453;20125,580078;2017-01-26;2017-01-19;['https://twitter.com/realDonaldTrump/status/824573698774601729', 'https://twitter.com/realDonaldTrump/status/824615820391305216', 'https://twitter.com/realDonaldTrump/status/824616644370714627', 'https://twitter.com/realDonaldTrump/status/824698743630995457', 'https://twitter.com/realDonaldTrump/status/824765229527605248', 'https://twitter.com/realDonaldTrump/status/824767281146245120'];['https://twitter.com/realDonaldTrump/status/822064153426857984', 'https://twitter.com/realDonaldTrump/status/822066132307808256', 'https://twitter.com/realDonaldTrump/status/822066653953458177', 'https://twitter.com/realDonaldTrump/status/822175285151928320', 'https://twitter.com/realDonaldTrump/status/822176438627536897', 'https://twitter.com/realDonaldTrump/status/822177206633955328', 'https://twitter.com/realDonaldTrump/status/822242449053614081', 'https://twitter.com/realDonaldTrump/status/822298747421986828']
1;85;2017-02;19831,089844;20851,330078;2017-02-27;2017-02-02;['https://twitter.com/realDonaldTrump/status/836261209540288513', 'https://twitter.com/realDonaldTrump/status/836332166728527872', 'https://twitter.com/realDonaldTrump/status/836406328369242113'];['https://twitter.com/realDonaldTrump/status/827112633224544256', 'https://twitter.com/realDonaldTrump/status/827113926517194757', 'https://twitter.com/realDonaldTrump/status/827115768202534913', 'https://twitter.com/realDonaldTrump/status/827118012784373760', 'https://twitter.com/realDonaldTrump/status/827119326880813056', 'https://twitter.com/realDonaldTrump/status/827207267632164868']
2;86;2017-03;20412,800781;21169,109375;2017-03-01;2017-03-27;['https://twitter.com/realDonaldTrump/status/836933725602656256'];['https://twitter.com/realDonaldTrump/status/846533818811080704', 'https://twitter.com/realDonaldTrump/status/846536212362018816', 'https://twitter.com/realDonaldTrump/status/846537639167713281', 'https://twitter.com/realDonaldTrump/status/846543183223963649']
3;87;2017-04;20379,550781;21070,900391;2017-04-26;2017-04-19;['https://twitter.com/realDonaldTrump/status/857177434210304001', 'https://twitter.com/realDonaldTrump/status/857180178736459776', 'https://twitter.com/realDonaldTrump/status/857182179469774848', 'https://twitter.com/realDonaldTrump/status/857185261029126144', 'https://twitter.com/realDonaldTrump/status/857246245672366081', 'https://twitter.com/realDonaldTrump/status/857295731929034753', 'https://twitter.com/realDonaldTrump/status/857335793261568000', 'https://twitter.com/realDonaldTrump/status/857360510534209536', 'https://twitter.com/realDonaldTrump/status/857370270776086528'];['https://twitter.com/realDonaldTrump/status/854676780527079425', 'https://twitter.com/realDonaldTrump/status/854749300114546688', 'https://twitter.com/realDonaldTrump/status/854793411110588418', 'https://twitter.com/realDonaldTrump/status/854870777287634944']
4;88;2017-05;20553,449219;21112,320313;2017-05-25;2017-05-18;['https://twitter.com/realDonaldTrump/status/867801005018230786', 'https://twitter.com/realDonaldTrump/status/867834190078906370', 'https://twitter.com/realDonaldTrump/status/867874154497937408'];['https://twitter.com/realDonaldTrump/status/865173176854204416', 'https://twitter.com/realDonaldTrump/status/865207118785372160', 'https://twitter.com/realDonaldTrump/status/865337513245913089', 'https://twitter.com/realDonaldTrump/status/865387523371143168']
5;89;2017-06;20994,220703;21535,029297;2017-06-20;2017-06-01;['https://twitter.com/realDonaldTrump/status/877101173412638720', 'https://twitter.com/realDonaldTrump/status/877104262463008771', 'https://twitter.com/realDonaldTrump/status/877204691851108353', 'https://twitter.com/realDonaldTrump/status/877234140483121152', 'https://twitter.com/realDonaldTrump/status/877341043171241984', 'https://twitter.com/realDonaldTrump/status/877350761742688256', 'https://twitter.com/realDonaldTrump/status/877353797760286720', 'https://twitter.com/realDonaldTrump/status/877355739383287808', 'https://twitter.com/realDonaldTrump/status/877363446530007040', 'https://twitter.com/realDonaldTrump/status/877372660455546880'];['https://twitter.com/realDonaldTrump/status/870234811616677889', 'https://twitter.com/realDonaldTrump/status/870355056327000065', 'https://twitter.com/realDonaldTrump/status/870412262900740096', 'https://twitter.com/realDonaldTrump/status/870445001125355522']
6;90;2017-07;21279,300781;21929,800781;2017-07-31;2017-07-11;['https://twitter.com/realDonaldTrump/status/891996053611917312', 'https://twitter.com/realDonaldTrump/status/891998881009061888', 'https://twitter.com/realDonaldTrump/status/892147656319004672'];['https://twitter.com/realDonaldTrump/status/884728971530829824', 'https://twitter.com/realDonaldTrump/status/884740553040175104', 'https://twitter.com/realDonaldTrump/status/884746435039768576', 'https://twitter.com/realDonaldTrump/status/884750055776948225', 'https://twitter.com/realDonaldTrump/status/884931352201756672']
7;91;2017-08;21600,339844;22179,109375;2017-08-08;2017-08-21;['https://twitter.com/realDonaldTrump/status/894878812063846400', 'https://twitter.com/realDonaldTrump/status/894880193839497216', 'https://twitter.com/realDonaldTrump/status/894981661926068228', 'https://twitter.com/realDonaldTrump/status/894984126582972416', 'https://twitter.com/realDonaldTrump/status/895091395379245056'];['https://twitter.com/realDonaldTrump/status/899623926082535425', 'https://twitter.com/realDonaldTrump/status/899625157421039616', 'https://twitter.com/realDonaldTrump/status/899798313997926401', 'https://twitter.com/realDonaldTrump/status/899833714363949056', 'https://twitter.com/realDonaldTrump/status/899841094761848832']
8;92;2017-09;21709,630859;22419,509766;2017-09-21;2017-09-05;['https://twitter.com/realDonaldTrump/status/910885156373721092', 'https://twitter.com/realDonaldTrump/status/910885755320459264', 'https://twitter.com/realDonaldTrump/status/910898047931912192', 'https://twitter.com/realDonaldTrump/status/910926223684931585', 'https://twitter.com/realDonaldTrump/status/910992971620864004', 'https://twitter.com/realDonaldTrump/status/910993665568526337'];['https://twitter.com/realDonaldTrump/status/905038986883850240', 'https://twitter.com/realDonaldTrump/status/905047095488516098', 'https://twitter.com/realDonaldTrump/status/905170032229056512', 'https://twitter.com/realDonaldTrump/status/905228667336499200']
9;93;2017-10;22416,000000;23485,250000;2017-10-24;2017-10-02;['https://twitter.com/realDonaldTrump/status/922798321739161600', 'https://twitter.com/realDonaldTrump/status/922799981874089985', 'https://twitter.com/realDonaldTrump/status/922817539251556353', 'https://twitter.com/realDonaldTrump/status/922828476872318976', 'https://twitter.com/realDonaldTrump/status/922830229525225477', 'https://twitter.com/realDonaldTrump/status/922833943749103621', 'https://twitter.com/realDonaldTrump/status/922903426434064384', 'https://twitter.com/realDonaldTrump/status/922951009277825024'];['https://twitter.com/realDonaldTrump/status/914810093874671617']
